code,rows,first,last,sn,null20,null5,null20_ratio
003036.SZ,866,2023-01-03,2026-07-31,20,20,5,0.023094688221709007
000599.SZ,866,2023-01-03,2026-07-31,20,36,18,0.04157043879907621
002763.SZ,866,2023-01-03,2026-07-31,20,20,5,0.023094688221709007
002252.SZ,866,2023-01-03,2026-07-31,20,40,20,0.046189376443418015
688290.SH,866,2023-01-03,2026-07-31,20,20,5,0.023094688221709007
000975.SZ,866,2023-01-03,2026-07-31,20,20,5,0.023094688221709007
002948.SZ,866,2023-01-03,2026-07-31,20,20,5,0.023094688221709007
600711.SH,866,2023-01-03,2026-07-31,20,24,9,0.02771362586605081
002588.SZ,866,2023-01-03,2026-07-31,20,20,5,0.023094688221709007
600916.SH,866,2023-01-03,2026-07-31,20,20,5,0.023094688221709007
301141.SZ,807,2023-04-03,2026-07-31,20,20,5,0.024783147459727387
001206.SZ,866,2023-01-03,2026-07-31,20,38,19,0.04387990762124711
600685.SH,866,2023-01-03,2026-07-31,20,20,5,0.023094688221709007
603601.SH,866,2023-01-03,2026-07-31,20,20,5,0.023094688221709007
603320.SH,866,2023-01-03,2026-07-31,20,20,5,0.023094688221709007
000514.SZ,866,2023-01-03,2026-07-31,20,20,5,0.023094688221709007
002768.SZ,866,2023-01-03,2026-07-31,20,20,5,0.023094688221709007
300768.SZ,866,2023-01-03,2026-07-31,20,20,5,0.023094688221709007
600292.SH,866,2023-01-03,2026-07-31,20,40,20,0.046189376443418015
002024.SZ,866,2023-01-03,2026-07-31,20,20,5,0.023094688221709007
688238.SH,866,2023-01-03,2026-07-31,20,20,5,0.023094688221709007
000995.SZ,866,2023-01-03,2026-07-31,20,22,7,0.025404157043879907
600346.SH,866,2023-01-03,2026-07-31,20,20,5,0.023094688221709007
603160.SH,866,2023-01-03,2026-07-31,20,40,20,0.046189376443418015
603551.SH,866,2023-01-03,2026-07-31,20,20,5,0.023094688221709007
688479.SH,783,2023-05-11,2026-07-31,20,20,5,0.02554278416347382
002282.SZ,866,2023-01-03,2026-07-31,20,20,5,0.023094688221709007
300406.SZ,866,2023-01-03,2026-07-31,20,20,5,0.023094688221709007
601398.SH,866,2023-01-03,2026-07-31,20,20,5,0.023094688221709007
002212.SZ,866,2023-01-03,2026-07-31,20,20,5,0.023094688221709007
301235.SZ,866,2023-01-03,2026-07-31,20,20,5,0.023094688221709007
603668.SH,866,2023-01-03,2026-07-31,20,20,5,0.023094688221709007
002406.SZ,866,2023-01-03,2026-07-31,20,20,5,0.023094688221709007
688234.SH,866,2023-01-03,2026-07-31,20,20,5,0.023094688221709007
000592.SZ,866,2023-01-03,2026-07-31,20,26,11,0.03002309468822171
600499.SH,866,2023-01-03,2026-07-31,20,40,20,0.046189376443418015
600925.SH,810,2023-03-29,2026-07-31,20,20,5,0.024691358024691357
600256.SH,866,2023-01-03,2026-07-31,20,20,5,0.023094688221709007
301383.SZ,762,2023-06-09,2026-07-31,20,20,5,0.026246719160104987
600853.SH,866,2023-01-03,2026-07-31,20,20,5,0.023094688221709007
002017.SZ,866,2023-01-03,2026-07-31,20,20,5,0.023094688221709007
002483.SZ,866,2023-01-03,2026-07-31,20,20,5,0.023094688221709007
600522.SH,866,2023-01-03,2026-07-31,20,20,5,0.023094688221709007
301365.SZ,866,2023-01-03,2026-07-31,20,20,5,0.023094688221709007
600681.SH,866,2023-01-03,2026-07-31,20,20,5,0.023094688221709007
600231.SH,866,2023-01-03,2026-07-31,20,20,5,0.023094688221709007
000799.SZ,866,2023-01-03,2026-07-31,20,20,5,0.023094688221709007
002074.SZ,866,2023-01-03,2026-07-31,20,20,5,0.023094688221709007
300796.SZ,866,2023-01-03,2026-07-31,20,20,5,0.023094688221709007
603838.SH,866,2023-01-03,2026-07-31,20,22,7,0.025404157043879907
300576.SZ,866,2023-01-03,2026-07-31,20,20,5,0.023094688221709007
688298.SH,866,2023-01-03,2026-07-31,20,20,5,0.023094688221709007
000721.SZ,866,2023-01-03,2026-07-31,20,20,5,0.023094688221709007
603305.SH,866,2023-01-03,2026-07-31,20,34,19,0.03926096997690531
301185.SZ,866,2023-01-03,2026-07-31,20,20,5,0.023094688221709007
301585.SZ,390,2024-12-20,2026-07-31,20,20,5,0.05128205128205128
002092.SZ,866,2023-01-03,2026-07-31,20,24,9,0.02771362586605081
688196.SH,866,2023-01-03,2026-07-31,20,20,5,0.023094688221709007
600007.SH,866,2023-01-03,2026-07-31,20,20,5,0.023094688221709007
603980.SH,866,2023-01-03,2026-07-31,20,30,15,0.03464203233256351
000737.SZ,866,2023-01-03,2026-07-31,20,20,5,0.023094688221709007
