execution_date,cash,market_value,nav
2021-01-05,0.0,1000000.0,1000000.0
2021-02-02,0.0,1010000.0,1010000.0
2021-03-02,0.0,1020100.0,1020100.0
2021-03-30,0.0,1030301.0,1030301.0
2021-04-27,0.0,1040604.01,1040604.01
2021-05-25,0.0,1051010.0501,1051010.0501
2021-06-22,0.0,1061520.150601,1061520.150601
2021-07-20,0.0,1072135.35210701,1072135.35210701
2021-08-17,0.0,1082856.7056280803,1082856.7056280803
2021-09-14,0.0,1093685.2726843609,1093685.2726843609
2021-10-12,0.0,1104622.1254112045,1104622.1254112045
2021-11-09,0.0,1115668.3466653167,1115668.3466653167
2021-12-07,277.969760024298,1115390.3769052925,1115668.3466653167
2022-01-04,277.969760024298,1126544.2806743456,1126822.2504343698
2022-02-01,277.969760024298,1137809.7234810889,1138087.693241113
2022-03-01,277.969760024298,1149187.8207158998,1149465.790475924
2022-03-29,277.969760024298,1160679.6989230588,1160957.668683083
2022-04-26,277.969760024298,1172286.4959122892,1172564.4656723135
2022-05-24,277.969760024298,1184009.3608714123,1184287.3306314365
2022-06-21,277.969760024298,1195849.4544801265,1196127.4242401507
2022-07-19,277.969760024298,1207807.9490249278,1208085.918784952
2022-08-16,277.969760024298,1219886.028515177,1220163.9982752013
2022-09-13,277.969760024298,1232084.8888003288,1232362.858560353
2022-10-11,277.969760024298,1244405.7376883323,1244683.7074483566
2022-11-08,784.7898940954838,1243898.917554261,1244683.7074483563
2022-12-06,784.7898940954838,1256337.9067298037,1257122.696623899
2023-01-03,784.7898940954838,1268901.2857971017,1269686.075691197
2023-01-31,784.7898940954838,1281590.2986550727,1282375.088549168
2023-02-28,784.7898940954838,1294406.2016416234,1295190.9915357188
2023-03-28,784.7898940954838,1307350.2636580395,1308135.053552135
2023-04-25,784.7898940954838,1320423.7662946198,1321208.5561887152
2023-05-23,784.7898940954838,1333628.003957566,1334412.7938516615
2023-06-20,784.7898940954838,1346964.2839971418,1347749.0738912371
2023-07-18,784.7898940954838,1360433.9268371132,1361218.7167312086
2023-08-15,784.7898940954838,1374038.2661054842,1374823.0559995796
2023-09-12,784.7898940954838,1387778.6487665388,1388563.4386606342
2023-10-10,784.7898940954838,1401656.4352542043,1402441.2251482997
2023-11-07,410.81921152194445,1402030.4059367774,1402441.2251482992
2023-12-05,410.81921152194445,1416050.7099961452,1416461.529207667
2024-01-02,410.81921152194445,1430211.2170961066,1430622.0363076285
2024-01-30,410.81921152194445,1444513.3292670678,1444924.1484785897
2024-02-27,410.81921152194445,1458958.4625597384,1459369.2817712603
2024-03-26,410.81921152194445,1473548.047185336,1473958.866396858
2024-04-23,410.81921152194445,1488283.5276571894,1488694.3468687113
2024-05-21,410.81921152194445,1503166.3629337614,1503577.1821452833
2024-06-18,410.81921152194445,1518198.026563099,1518608.8457746208
2024-07-16,410.81921152194445,1533380.00682873,1533790.8260402519
2024-08-13,410.81921152194445,1548713.8068970172,1549124.626108539
2024-09-10,410.81921152194445,1508949.0822284748,1509359.9014399967
2024-10-08,410.81921152194445,1524038.5730507595,1524449.3922622814
2024-11-05,410.81921152194445,1539278.9587812673,1539689.7779927892
2024-12-03,410.81921152194445,1554671.7483690798,1555082.5675806017
2024-12-31,1570629.2850642926,0.0,1570629.2850642926
