ts vmpeak_kb vmsize_kb vmrss_kb
1789585053 54284 54284 6796
1789585055 9634512 9634512 5994416
1789585057 12551888 12551888 3515092
1789585059 12551888 12551888 3646212
1789585061 13526740 13526736 6736636
1789585063 17205972 17132616 4781944
1789585065 17206344 17108300 3959496
1789585067 17206604 17132876 4033492
1789585069 17206604 17206604 4037392
1789585071 17206604 17132876 4018396
1789585073 17206604 17132876 4054696
1789585075 17206604 17034572 3989936
1789585077 17206604 16993612 3949200
1789585079 17206604 17067340 4017896
1789585081 17206604 17067340 3994580
1789585083 17206604 17067340 4000176
1789585085 17206604 16993612 7360620
peak_vmpeak_gib=16.41 peak_vmrss_gib=7.02
