ts vmpeak_kb vmsize_kb vmrss_kb
1789584896 54300 54300 6772
1789584898 17945620 17945620 5867184
1789584900 20212756 20212756 3730036
1789584902 20212756 20212756 3687028
1789584904 22129684 22129684 7687728
1789584906 27480080 27336996 3956116
1789584908 27509288 27435560 3999760
1789584910 27542056 27468328 4026408
1789584912 27542056 27468328 4047208
1789584914 27542056 27468328 4056292
1789584916 27542056 27370024 3974228
1789584918 27542056 27370024 3995884
1789584920 27542056 27402792 3979112
1789584922 27542056 27402792 4020720
1789584924 27542056 27402792 4024496
1789584926 27542056 27329064 3970796
peak_vmpeak_gib=26.27 peak_vmrss_gib=7.33
