ts vmpeak_kb vmsize_kb vmrss_kb
1789584744 54284 54284 6820
1789584746 17606184 17606184 5691100
1789584748 20210216 20210216 3710924
1789584750 20210216 20210216 3675096
1789584752 22061608 22061608 7230016
1789584754 27248264 27076504 3955752
1789584756 27248796 27175068 3985856
1789584758 27297948 27224220 4022664
1789584760 27297948 27224220 4048252
1789584762 27297948 27224220 4037560
1789584764 27297948 27084956 3978116
1789584766 27297948 27125916 3993360
1789584768 27297948 27158684 3995716
1789584770 27297948 27158684 4002296
1789584772 27297948 27158684 4012856
1789584774 27297948 27084956 7911888
peak_vmpeak_gib=26.03 peak_vmrss_gib=7.55
