trade_date,rule_id,level,field,count
1990-12-19,MISSING_VALUE,WARN,amount,3
1990-12-19,VWAP_OUT_OF_RANGE,ERROR,amount,2
1990-12-20,MISSING_VALUE,WARN,amount,3
1990-12-20,VWAP_OUT_OF_RANGE,ERROR,amount,2
1990-12-21,MISSING_VALUE,WARN,amount,3
1990-12-21,VWAP_OUT_OF_RANGE,ERROR,amount,4
1990-12-24,MISSING_VALUE,WARN,amount,3
1990-12-24,VWAP_OUT_OF_RANGE,ERROR,amount,2
1990-12-25,MISSING_VALUE,WARN,amount,3
1990-12-25,VWAP_OUT_OF_RANGE,ERROR,amount,1
1990-12-26,MISSING_VALUE,WARN,amount,3
1990-12-26,VWAP_OUT_OF_RANGE,ERROR,amount,3
1990-12-27,MISSING_VALUE,WARN,amount,3
1990-12-27,VWAP_OUT_OF_RANGE,ERROR,amount,1
1990-12-28,MISSING_VALUE,WARN,amount,3
1990-12-28,VWAP_OUT_OF_RANGE,ERROR,amount,4
1990-12-31,MISSING_VALUE,WARN,amount,3
1990-12-31,VWAP_OUT_OF_RANGE,ERROR,amount,4
1991-01-02,MISSING_VALUE,WARN,amount,3
1991-01-02,VWAP_OUT_OF_RANGE,ERROR,amount,1
1991-01-03,MISSING_VALUE,WARN,amount,3
1991-01-03,VWAP_OUT_OF_RANGE,ERROR,amount,4
1991-01-04,MISSING_VALUE,WARN,amount,3
1991-01-04,VWAP_OUT_OF_RANGE,ERROR,amount,4
1991-01-07,MISSING_VALUE,WARN,amount,3
1991-01-07,VWAP_OUT_OF_RANGE,ERROR,amount,4
1991-01-08,MISSING_VALUE,WARN,amount,3
1991-01-08,VWAP_OUT_OF_RANGE,ERROR,amount,5
1991-01-09,MISSING_VALUE,WARN,amount,3
1991-01-09,VWAP_OUT_OF_RANGE,ERROR,amount,4
1991-01-10,MISSING_VALUE,WARN,amount,3
1991-01-10,VWAP_OUT_OF_RANGE,ERROR,amount,4
1991-01-11,MISSING_VALUE,WARN,amount,3
1991-01-11,VWAP_OUT_OF_RANGE,ERROR,amount,5
1991-01-14,MISSING_VALUE,WARN,amount,3
1991-01-14,VWAP_OUT_OF_RANGE,ERROR,amount,6
1991-01-15,MISSING_VALUE,WARN,amount,3
1991-01-15,VWAP_OUT_OF_RANGE,ERROR,amount,5
1991-01-16,MISSING_VALUE,WARN,amount,4
1991-01-16,VWAP_OUT_OF_RANGE,ERROR,amount,4
1991-01-17,MISSING_VALUE,WARN,amount,3
1991-01-17,VWAP_OUT_OF_RANGE,ERROR,amount,5
1991-01-18,MISSING_VALUE,WARN,amount,4
1991-01-18,VWAP_OUT_OF_RANGE,ERROR,amount,5
1991-01-19,VWAP_OUT_OF_RANGE,ERROR,amount,1
1991-01-21,MISSING_VALUE,WARN,amount,4
1991-01-21,VWAP_OUT_OF_RANGE,ERROR,amount,3
1991-01-22,MISSING_VALUE,WARN,amount,3
1991-01-22,VWAP_OUT_OF_RANGE,ERROR,amount,4
1991-01-23,MISSING_VALUE,WARN,amount,3
1991-01-23,VWAP_OUT_OF_RANGE,ERROR,amount,6
1991-01-24,MISSING_VALUE,WARN,amount,4
1991-01-24,VWAP_OUT_OF_RANGE,ERROR,amount,5
1991-01-25,MISSING_VALUE,WARN,amount,4
1991-01-25,VWAP_OUT_OF_RANGE,ERROR,amount,4
1991-01-28,MISSING_VALUE,WARN,amount,4
1991-01-28,VWAP_OUT_OF_RANGE,ERROR,amount,4
1991-01-29,MISSING_VALUE,WARN,amount,4
1991-01-29,VWAP_OUT_OF_RANGE,ERROR,amount,6
1991-01-30,MISSING_VALUE,WARN,amount,3
1991-01-30,VWAP_OUT_OF_RANGE,ERROR,amount,7
1991-01-31,MISSING_VALUE,WARN,amount,3
1991-01-31,VWAP_OUT_OF_RANGE,ERROR,amount,6
1991-02-01,MISSING_VALUE,WARN,amount,4
1991-02-01,VWAP_OUT_OF_RANGE,ERROR,amount,3
1991-02-02,VWAP_OUT_OF_RANGE,ERROR,amount,2
1991-02-04,MISSING_VALUE,WARN,amount,3
1991-02-04,VWAP_OUT_OF_RANGE,ERROR,amount,6
1991-02-05,MISSING_VALUE,WARN,amount,3
1991-02-05,VWAP_OUT_OF_RANGE,ERROR,amount,7
1991-02-06,MISSING_VALUE,WARN,amount,3
1991-02-06,VWAP_OUT_OF_RANGE,ERROR,amount,7
1991-02-07,MISSING_VALUE,WARN,amount,3
1991-02-07,VWAP_OUT_OF_RANGE,ERROR,amount,7
1991-02-08,MISSING_VALUE,WARN,amount,3
1991-02-08,VWAP_OUT_OF_RANGE,ERROR,amount,7
