code,trade_date,volume,market,year,segment
000004.SZ,1991-01-29,1500.0,SZ,1991,SPORADIC_GAP
000004.SZ,1991-02-01,9500.0,SZ,1991,SPORADIC_GAP
000004.SZ,1991-04-01,1500.0,SZ,1991,SPORADIC_GAP
000004.SZ,1991-05-02,1000.0,SZ,1991,SPORADIC_GAP
000004.SZ,1991-06-06,500.0,SZ,1991,SPORADIC_GAP
000004.SZ,1991-10-09,86500.0,SZ,1991,SPORADIC_GAP
000004.SZ,1992-02-25,51500.0,SZ,1992,SPORADIC_GAP
000004.SZ,1992-05-05,298000.0,SZ,1992,SPORADIC_GAP
000004.SZ,1993-08-09,699600.0,SZ,1993,SPORADIC_GAP
000004.SZ,2026-06-25,12779843.0,SZ,2026,TAIL
000004.SZ,2026-06-26,11358930.0,SZ,2026,TAIL
000004.SZ,2026-06-29,9321800.0,SZ,2026,TAIL
000004.SZ,2026-06-30,2454510.0,SZ,2026,TAIL
000004.SZ,2026-07-01,11510519.0,SZ,2026,TAIL
000004.SZ,2026-07-02,9499142.0,SZ,2026,TAIL
000004.SZ,2026-07-03,6267334.0,SZ,2026,TAIL
000004.SZ,2026-07-06,6996073.0,SZ,2026,TAIL
000004.SZ,2026-07-07,7741323.0,SZ,2026,TAIL
000004.SZ,2026-07-08,4698570.0,SZ,2026,TAIL
000004.SZ,2026-07-09,5375604.0,SZ,2026,TAIL
000004.SZ,2026-07-10,3630589.0,SZ,2026,TAIL
000004.SZ,2026-07-13,3488617.0,SZ,2026,TAIL
002808.SZ,2026-06-25,13433288.0,SZ,2026,TAIL
002808.SZ,2026-06-26,7380693.0,SZ,2026,TAIL
002808.SZ,2026-06-29,16384416.0,SZ,2026,TAIL
002808.SZ,2026-06-30,24154407.0,SZ,2026,TAIL
002808.SZ,2026-07-01,8739168.0,SZ,2026,TAIL
002808.SZ,2026-07-02,21582990.0,SZ,2026,TAIL
002808.SZ,2026-07-03,10522123.0,SZ,2026,TAIL
002808.SZ,2026-07-06,17824529.0,SZ,2026,TAIL
002808.SZ,2026-07-07,8730868.0,SZ,2026,TAIL
002808.SZ,2026-07-08,8208140.0,SZ,2026,TAIL
002808.SZ,2026-07-09,4269401.0,SZ,2026,TAIL
002808.SZ,2026-07-10,11618975.0,SZ,2026,TAIL
002808.SZ,2026-07-13,13875209.0,SZ,2026,TAIL
002898.SZ,2026-06-26,26197079.0,SZ,2026,TAIL
002898.SZ,2026-06-29,8031200.0,SZ,2026,TAIL
002898.SZ,2026-06-30,16108907.0,SZ,2026,TAIL
002898.SZ,2026-07-01,10852286.0,SZ,2026,TAIL
002898.SZ,2026-07-02,8763330.0,SZ,2026,TAIL
002898.SZ,2026-07-03,5089660.0,SZ,2026,TAIL
002898.SZ,2026-07-06,6978610.0,SZ,2026,TAIL
002898.SZ,2026-07-07,5465007.0,SZ,2026,TAIL
002898.SZ,2026-07-08,3452951.0,SZ,2026,TAIL
002898.SZ,2026-07-09,4496550.0,SZ,2026,TAIL
002898.SZ,2026-07-10,5350840.0,SZ,2026,TAIL
002898.SZ,2026-07-13,11423380.0,SZ,2026,TAIL
002898.SZ,2026-07-14,8799520.0,SZ,2026,TAIL
002898.SZ,2026-07-15,6436400.0,SZ,2026,TAIL
002898.SZ,2026-07-16,9912194.0,SZ,2026,TAIL
300029.SZ,2026-06-23,29404134.0,SZ,2026,TAIL
300029.SZ,2026-06-24,22299400.0,SZ,2026,TAIL
300029.SZ,2026-06-25,17442600.0,SZ,2026,TAIL
300029.SZ,2026-06-26,7467300.0,SZ,2026,TAIL
300029.SZ,2026-06-29,8529562.0,SZ,2026,TAIL
300029.SZ,2026-06-30,14358864.0,SZ,2026,TAIL
300029.SZ,2026-07-01,16295570.0,SZ,2026,TAIL
300029.SZ,2026-07-02,24491831.0,SZ,2026,TAIL
300029.SZ,2026-07-03,19075700.0,SZ,2026,TAIL
300029.SZ,2026-07-06,19277029.0,SZ,2026,TAIL
300029.SZ,2026-07-07,14545130.0,SZ,2026,TAIL
300029.SZ,2026-07-08,19296900.0,SZ,2026,TAIL
300029.SZ,2026-07-09,20594300.0,SZ,2026,TAIL
600193.SH,2026-06-23,25733862.0,SH,2026,TAIL
600193.SH,2026-06-24,16352051.0,SH,2026,TAIL
600193.SH,2026-06-25,15354314.0,SH,2026,TAIL
600193.SH,2026-06-26,20868800.0,SH,2026,TAIL
600193.SH,2026-06-29,22887145.0,SH,2026,TAIL
600421.SH,2026-06-01,50343416.0,SH,2026,TAIL
600421.SH,2026-06-02,30796800.0,SH,2026,TAIL
600421.SH,2026-06-03,25051397.0,SH,2026,TAIL
600421.SH,2026-06-04,13333801.0,SH,2026,TAIL
600421.SH,2026-06-05,19554278.0,SH,2026,TAIL
600421.SH,2026-06-08,12920356.0,SH,2026,TAIL
600421.SH,2026-06-09,15451800.0,SH,2026,TAIL
600421.SH,2026-06-10,14258009.0,SH,2026,TAIL
600421.SH,2026-06-11,4494700.0,SH,2026,TAIL
600421.SH,2026-06-12,6734703.0,SH,2026,TAIL
600421.SH,2026-06-15,5038430.0,SH,2026,TAIL
600421.SH,2026-06-16,4950051.0,SH,2026,TAIL
600421.SH,2026-06-17,6432162.0,SH,2026,TAIL
600421.SH,2026-06-18,7053318.0,SH,2026,TAIL
600421.SH,2026-06-22,15223100.0,SH,2026,TAIL
600599.SH,2026-06-01,24603085.0,SH,2026,TAIL
600599.SH,2026-06-02,13272907.0,SH,2026,TAIL
600599.SH,2026-06-03,8408140.0,SH,2026,TAIL
600599.SH,2026-06-04,6594787.0,SH,2026,TAIL
600599.SH,2026-06-05,6441420.0,SH,2026,TAIL
600599.SH,2026-06-08,6532942.0,SH,2026,TAIL
600599.SH,2026-06-09,6098506.0,SH,2026,TAIL
600599.SH,2026-06-10,5997205.0,SH,2026,TAIL
600599.SH,2026-06-11,4372105.0,SH,2026,TAIL
600599.SH,2026-06-12,2427502.0,SH,2026,TAIL
600599.SH,2026-06-15,3105400.0,SH,2026,TAIL
600599.SH,2026-06-16,2978901.0,SH,2026,TAIL
600599.SH,2026-06-17,1644601.0,SH,2026,TAIL
600599.SH,2026-06-18,3961152.0,SH,2026,TAIL
600599.SH,2026-06-22,6901131.0,SH,2026,TAIL
600608.SH,1992-03-27,100.0,SH,1992,SPORADIC_GAP
600608.SH,1992-03-30,100.0,SH,1992,SPORADIC_GAP
600608.SH,1992-03-31,100.0,SH,1992,SPORADIC_GAP
600608.SH,1992-04-01,100.0,SH,1992,SPORADIC_GAP
600608.SH,1992-04-02,100.0,SH,1992,SPORADIC_GAP
600608.SH,1992-04-03,100.0,SH,1992,SPORADIC_GAP
600608.SH,1992-04-06,100.0,SH,1992,SPORADIC_GAP
600608.SH,1992-04-07,100.0,SH,1992,SPORADIC_GAP
600608.SH,1992-04-08,100.0,SH,1992,SPORADIC_GAP
600608.SH,1992-04-09,100.0,SH,1992,SPORADIC_GAP
600608.SH,1993-01-04,519400.0,SH,1993,SPORADIC_GAP
600608.SH,2026-06-23,6569887.0,SH,2026,TAIL
600608.SH,2026-06-24,10796038.0,SH,2026,TAIL
600608.SH,2026-06-25,10268801.0,SH,2026,TAIL
600608.SH,2026-06-26,6934346.0,SH,2026,TAIL
600608.SH,2026-06-29,17279576.0,SH,2026,TAIL
600636.SH,1994-04-07,140120.0,SH,1994,SPORADIC_GAP
600636.SH,2026-06-01,87042202.0,SH,2026,TAIL
600636.SH,2026-06-02,32404985.0,SH,2026,TAIL
600636.SH,2026-06-03,23705010.0,SH,2026,TAIL
600636.SH,2026-06-04,36726462.0,SH,2026,TAIL
