code,trade_date,volume
000004.SZ,1991-01-29,1500.0
000004.SZ,1991-02-01,9500.0
000004.SZ,1991-04-01,1500.0
000004.SZ,1991-05-02,1000.0
000004.SZ,1991-06-06,500.0
000004.SZ,1991-10-09,86500.0
000004.SZ,1992-02-25,51500.0
000004.SZ,1992-05-05,298000.0
000004.SZ,1993-08-09,699600.0
600608.SH,1992-03-27,100.0
600608.SH,1992-03-30,100.0
600608.SH,1992-03-31,100.0
600608.SH,1992-04-01,100.0
600608.SH,1992-04-02,100.0
600608.SH,1992-04-03,100.0
600608.SH,1992-04-06,100.0
600608.SH,1992-04-07,100.0
600608.SH,1992-04-08,100.0
600608.SH,1992-04-09,100.0
600608.SH,1993-01-04,519400.0
600636.SH,1994-04-07,140120.0
