category,trade_date,code,close,volume,amount,vwap,ratio,adj_factor
registry_extra,1991-01-14,000004.SZ,15.98,100.0,8000.0,80.0,5.006258,1.0
registry_extra,1991-01-15,000004.SZ,15.9,100.0,8000.0,80.0,5.031447,1.0
registry_extra,1991-01-17,000004.SZ,15.74,100.0,8000.0,80.0,5.082592,1.0
registry_extra,1991-01-22,000004.SZ,15.42,200.0,15000.0,75.0,4.863813,1.0
registry_extra,1991-01-23,000004.SZ,15.34,300.0,23000.0,76.666667,4.997827,1.0
registry_extra,1991-01-29,000002.SZ,14.58,300.0,22000.0,73.333333,5.029721,1.0
registry_extra,1991-01-30,000002.SZ,14.51,1700.0,123000.0,72.352941,4.986419,1.0
registry_extra,1991-01-30,000004.SZ,14.87,600.0,45000.0,75.0,5.043712,1.0
registry_extra,1991-01-31,000004.SZ,14.8,700.0,52000.0,74.285714,5.019305,1.0
registry_extra,1991-02-04,000002.SZ,14.66,5600.0,410000.0,73.214286,4.994153,1.0
registry_extra,1991-02-04,000004.SZ,14.73,12100.0,893000.0,73.801653,5.010296,1.0
registry_extra,1991-02-05,000002.SZ,14.73,2900.0,213000.0,73.448276,4.986305,1.0
registry_extra,1991-02-05,000004.SZ,14.8,5400.0,400000.0,74.074074,5.005005,1.0
registry_extra,1991-02-06,000002.SZ,14.8,2900.0,215000.0,74.137931,5.00932,1.0
registry_extra,1991-02-06,000004.SZ,14.87,7900.0,587000.0,74.303797,4.996893,1.0
registry_extra,1991-02-07,000002.SZ,14.87,4800.0,357000.0,74.375,5.001681,1.0
registry_extra,1991-02-07,000004.SZ,14.94,12800.0,956000.0,74.6875,4.999163,1.0
registry_extra,1991-02-08,000002.SZ,14.94,6600.0,493000.0,74.69697,4.999797,1.0
registry_extra,1991-02-08,000004.SZ,17.73,24700.0,2190000.0,88.663968,5.000788,1.0
registry_extra,1991-02-11,000002.SZ,15.09,3300.0,249000.0,75.454545,5.000301,1.0
registry_extra,1991-02-11,000004.SZ,14.73,1700.0,125000.0,73.529412,4.991813,1.0
registry_extra,1991-02-12,000002.SZ,15.07,23600.0,1778000.0,75.338983,4.999269,1.0
registry_extra,1991-02-12,000004.SZ,14.66,1400.0,103000.0,73.571429,5.018515,1.0
registry_extra,1991-02-13,000002.SZ,15.25,3300.0,252000.0,76.363636,5.007452,1.0
registry_extra,1991-02-13,000004.SZ,14.59,900.0,66000.0,73.333333,5.026274,1.0
registry_extra,1991-02-22,000002.SZ,15.33,11600.0,889000.0,76.637931,4.999213,1.0
registry_extra,1991-02-22,000004.SZ,14.52,1400.0,102000.0,72.857143,5.01771,1.0
registry_extra,1991-02-25,000002.SZ,15.33,41000.0,3143000.0,76.658537,5.000557,1.0
registry_extra,1991-02-25,000004.SZ,14.38,600.0,43000.0,71.666667,4.983774,1.0
registry_extra,1991-02-26,000002.SZ,15.25,10000.0,762000.0,76.2,4.996721,1.0
registry_extra,1991-02-26,000004.SZ,14.31,300.0,21000.0,70.0,4.891684,1.0
registry_extra,1991-02-27,000002.SZ,15.17,25800.0,1957000.0,75.852713,5.000179,1.0
registry_extra,1991-02-27,000004.SZ,14.24,100.0,7000.0,70.0,4.91573,1.0
registry_extra,1991-02-28,000002.SZ,15.09,4600.0,347000.0,75.434783,4.998992,1.0
registry_extra,1991-02-28,000004.SZ,14.17,400.0,28000.0,70.0,4.940014,1.0
registry_extra,1991-03-01,000002.SZ,15.01,2800.0,210000.0,75.0,4.996669,1.0
registry_extra,1991-03-01,000004.SZ,14.1,100.0,7000.0,70.0,4.964539,1.0
registry_extra,1991-03-04,000002.SZ,14.86,3000.0,222000.0,74.0,4.979812,1.0
registry_extra,1991-03-05,000002.SZ,14.79,2200.0,163000.0,74.090909,5.009527,1.0
registry_extra,1991-03-05,000004.SZ,13.89,500.0,35000.0,70.0,5.039597,1.0
registry_extra,1991-03-06,000002.SZ,14.72,2100.0,154000.0,73.333333,4.981884,1.0
registry_extra,1991-03-06,000004.SZ,13.82,100.0,7000.0,70.0,5.065123,1.0
registry_extra,1991-03-07,000002.SZ,14.65,500.0,37000.0,74.0,5.051195,1.0
registry_extra,1991-03-08,000002.SZ,14.58,1000.0,73000.0,73.0,5.006859,1.0
registry_extra,1991-03-11,000002.SZ,14.44,1500.0,108000.0,72.0,4.98615,1.0
registry_extra,1991-03-12,000002.SZ,14.37,1300.0,93000.0,71.538462,4.97832,1.0
registry_extra,1991-03-13,000002.SZ,14.3,3900.0,279000.0,71.538462,5.00269,1.0
registry_extra,1991-03-13,000004.SZ,13.4,100.0,7000.0,70.0,5.223881,1.0
registry_extra,1991-03-14,000002.SZ,14.23,3200.0,228000.0,71.25,5.007027,1.0
registry_extra,1991-03-14,000004.SZ,13.33,100.0,7000.0,70.0,5.251313,1.0
registry_extra,1991-03-15,000002.SZ,14.16,1300.0,92000.0,70.769231,4.997827,1.0
registry_extra,1991-03-15,000004.SZ,13.26,100.0,7000.0,70.0,5.279035,1.0
registry_extra,1991-03-18,000002.SZ,14.02,2600.0,182000.0,70.0,4.992867,1.0
registry_extra,1991-03-18,000004.SZ,13.12,700.0,46000.0,65.714286,5.008711,1.0
registry_extra,1991-03-19,000002.SZ,13.95,1500.0,105000.0,70.0,5.017921,1.0
registry_extra,1991-03-19,000004.SZ,13.05,1500.0,98000.0,65.333333,5.006386,1.0
registry_extra,1991-03-20,000002.SZ,13.88,1900.0,132000.0,69.473684,5.005309,1.0
registry_extra,1991-03-20,000004.SZ,12.98,1600.0,104000.0,65.0,5.007704,1.0
registry_extra,1991-03-21,000002.SZ,13.81,1200.0,83000.0,69.166667,5.008448,1.0
registry_extra,1991-03-21,000004.SZ,12.92,200.0,13000.0,65.0,5.03096,1.0
registry_extra,1991-03-22,000002.SZ,13.74,1000.0,69000.0,69.0,5.021834,1.0
registry_extra,1991-03-22,000004.SZ,12.86,700.0,45000.0,64.285714,4.998889,1.0
registry_extra,1991-03-25,000002.SZ,13.6,400.0,27000.0,67.5,4.963235,1.0
registry_extra,1991-03-25,000004.SZ,12.74,100.0,6000.0,60.0,4.709576,1.0
registry_extra,1991-03-26,000002.SZ,13.53,400.0,27000.0,67.5,4.988914,1.0
registry_extra,1991-03-26,000004.SZ,12.68,400.0,25000.0,62.5,4.929022,1.0
registry_extra,1991-03-27,000002.SZ,13.46,9000.0,606000.0,67.333333,5.002476,1.0
registry_extra,1991-03-27,000004.SZ,12.62,800.0,50000.0,62.5,4.952456,1.0
registry_extra,1991-03-28,000002.SZ,13.39,400.0,27000.0,67.5,5.041075,1.0
registry_extra,1991-03-28,000004.SZ,12.56,600.0,38000.0,63.333333,5.042463,1.0
registry_extra,1991-03-29,000002.SZ,13.18,1200.0,79000.0,65.833333,4.994942,1.0
registry_extra,1991-03-29,000004.SZ,12.38,300.0,18000.0,60.0,4.846527,1.0
registry_extra,1991-04-02,000002.SZ,13.11,1400.0,92000.0,65.714286,5.012531,1.0
registry_extra,1991-04-02,000004.SZ,12.32,600.0,37000.0,61.666667,5.005411,1.0
registry_extra,1991-04-03,000002.SZ,13.04,1100.0,72000.0,65.454545,5.01952,1.0
registry_extra,1991-04-03,000004.SZ,12.86,100.0,6000.0,60.0,4.66563,1.0
registry_extra,1991-04-04,000002.SZ,12.97,700.0,45000.0,64.285714,4.956493,1.0
registry_extra,1991-04-04,000004.SZ,12.2,100.0,6000.0,60.0,4.918033,1.0
registry_extra,1991-04-05,000002.SZ,12.91,1400.0,90000.0,64.285714,4.979529,1.0
registry_extra,1991-04-06,000002.SZ,12.85,1400.0,90000.0,64.285714,5.002779,1.0
registry_extra,1991-04-08,000002.SZ,12.79,200.0,13000.0,65.0,5.082095,1.0
registry_extra,1991-04-08,000004.SZ,12.02,100.0,6000.0,60.0,4.991681,1.0
registry_extra,1991-04-09,000002.SZ,12.73,100.0,6000.0,60.0,4.713276,1.0
registry_extra,1991-04-10,000002.SZ,12.67,400.0,25000.0,62.5,4.932912,1.0
registry_extra,1991-04-10,000004.SZ,11.9,100.0,6000.0,60.0,5.042017,1.0
registry_extra,1991-04-11,000002.SZ,12.61,200.0,13000.0,65.0,5.154639,1.0
registry_extra,1991-04-12,000002.SZ,12.55,700.0,44000.0,62.857143,5.008537,1.0
registry_extra,1991-04-12,000004.SZ,11.78,200.0,12000.0,60.0,5.093379,1.0
registry_extra,1991-04-16,000002.SZ,12.37,300.0,18000.0,60.0,4.850445,1.0
registry_extra,1991-04-16,000004.SZ,11.6,100.0,6000.0,60.0,5.172414,1.0
registry_extra,1991-04-17,000002.SZ,12.31,200.0,12000.0,60.0,4.874086,1.0
registry_extra,1991-04-19,000002.SZ,12.19,300.0,18000.0,60.0,4.922067,1.0
