trade_date,code,close,low,high,volume,amount,vwap,ratio,matched_factor,matched_after,matched_before
1990-12-24,600651.SH,353.2,336.3,353.2,1700.0,23000.0,13.529412,0.038305,0.04,1990-12-21,1991-06-29
1990-12-26,600651.SH,389.5,389.5,389.5,400.0,6000.0,15.0,0.038511,0.04,1990-12-21,1991-06-29
1990-12-27,600651.SH,393.4,393.4,393.4,6600.0,104000.0,15.757576,0.040055,0.04,1990-12-21,1991-06-29
1990-12-28,600651.SH,397.3,397.3,397.3,3000.0,48000.0,16.0,0.040272,0.04,1990-12-21,1991-06-29
1990-12-31,600651.SH,401.3,401.3,401.3,1000.0,16000.0,16.0,0.03987,0.04,1990-12-21,1991-06-29
1991-01-02,600651.SH,405.3,405.3,405.3,1000.0,17000.0,17.0,0.041944,0.04,1990-12-21,1991-06-29
1991-01-03,600602.SH,510.2,510.2,510.2,6100.0,31000.0,5.081967,0.009961,0.01,1991-01-03,1992-12-01
1991-01-03,600651.SH,409.4,409.4,409.4,1200.0,19000.0,15.833333,0.038674,0.04,1990-12-21,1991-06-29
1991-01-04,600602.SH,515.3,515.3,515.3,22300.0,114000.0,5.112108,0.009921,0.01,1991-01-03,1992-12-01
1991-01-04,600651.SH,413.5,413.5,413.5,3500.0,57000.0,16.285714,0.039385,0.04,1990-12-21,1991-06-29
1991-01-07,600602.SH,517.9,517.9,517.9,14500.0,75000.0,5.172414,0.009987,0.01,1991-01-03,1992-12-01
1991-01-07,600651.SH,415.6,415.6,415.6,1200.0,19000.0,15.833333,0.038098,0.04,1990-12-21,1991-06-29
1991-01-08,600602.SH,520.5,520.5,520.5,225100.0,1171000.0,5.202132,0.009994,0.01,1991-01-03,1992-12-01
1991-01-08,600651.SH,417.7,417.7,417.7,22800.0,381000.0,16.710526,0.040006,0.04,1990-12-21,1991-06-29
1991-01-09,600602.SH,523.1,523.1,523.1,524400.0,2743000.0,5.23074,0.01,0.01,1991-01-03,1992-12-01
1991-01-09,600651.SH,419.8,419.8,419.8,22500.0,377000.0,16.755556,0.039913,0.04,1990-12-21,1991-06-29
1991-01-10,600602.SH,525.7,525.7,525.7,952300.0,5006000.0,5.256747,0.01,0.01,1991-01-03,1992-12-01
1991-01-10,600651.SH,417.7,417.7,421.9,13400.0,224000.0,16.716418,0.04002,0.04,1990-12-21,1991-06-29
1991-01-11,600602.SH,528.3,528.3,528.3,1230400.0,6500000.0,5.282835,0.01,0.01,1991-01-03,1992-12-01
1991-01-14,600602.SH,528.3,525.7,530.9,1101300.0,5829000.0,5.292836,0.010019,0.01,1991-01-03,1992-12-01
1991-01-14,600651.SH,413.5,413.5,413.5,600.0,10000.0,16.666667,0.040306,0.04,1990-12-21,1991-06-29
1991-01-15,600602.SH,528.3,525.7,528.3,17100.0,89000.0,5.204678,0.009852,0.01,1991-01-03,1992-12-01
1991-01-16,600602.SH,525.7,525.7,530.9,19400.0,101000.0,5.206186,0.009903,0.01,1991-01-03,1992-12-01
1991-01-17,600602.SH,525.7,523.1,525.7,12200.0,63000.0,5.163934,0.009823,0.01,1991-01-03,1992-12-01
1991-01-18,600602.SH,525.7,523.1,525.7,246000.0,1286000.0,5.227642,0.009944,0.01,1991-01-03,1992-12-01
