heavy.sh: slot=1/2 avail=41.0GB  max_memory=8GB oom_score_adj=700 -> platform/.venv/bin/python platform/tools/data_quality/health.py publish-history --from 1996-01-01 --run-tag scope20260920
[publish-history] scoped 全范围账本：/data/students/gaolei/stock/data/fact/daily_fact/daily_fact.parquet
[scope] 过滤范围外行 442311（< 1996-01-01 或 .BJ）
[scope-ledger] rows=17787921 clean=17787885 quarantine_keys=36 error=36 systemic=False
[publish-history] 100/7449 published=100 skipped=0 degraded=13 failed=0
[publish-history] 200/7449 published=200 skipped=0 degraded=15 failed=0
[publish-history] 300/7449 published=300 skipped=0 degraded=15 failed=0
[publish-history] 400/7449 published=400 skipped=0 degraded=15 failed=0
[publish-history] 500/7449 published=500 skipped=0 degraded=15 failed=0
[publish-history] 600/7449 published=600 skipped=0 degraded=15 failed=0
[publish-history] 700/7449 published=700 skipped=0 degraded=15 failed=0
[publish-history] 800/7449 published=800 skipped=0 degraded=15 failed=0
[publish-history] 900/7449 published=900 skipped=0 degraded=15 failed=0
[publish-history] 1000/7449 published=1000 skipped=0 degraded=17 failed=0
[publish-history] 1100/7449 published=1100 skipped=0 degraded=17 failed=0
[publish-history] 1200/7449 published=1200 skipped=0 degraded=17 failed=0
[publish-history] 1300/7449 published=1300 skipped=0 degraded=17 failed=0
[publish-history] 1400/7449 published=1400 skipped=0 degraded=20 failed=0
[publish-history] 1500/7449 published=1500 skipped=0 degraded=22 failed=0
[publish-history] 1600/7449 published=1600 skipped=0 degraded=23 failed=0
[publish-history] 1700/7449 published=1700 skipped=0 degraded=23 failed=0
[publish-history] 1800/7449 published=1800 skipped=0 degraded=24 failed=0
[publish-history] 1900/7449 published=1900 skipped=0 degraded=24 failed=0
[publish-history] 2000/7449 published=2000 skipped=0 degraded=24 failed=0
[publish-history] 2100/7449 published=2100 skipped=0 degraded=24 failed=0
[publish-history] 2200/7449 published=2200 skipped=0 degraded=25 failed=0
[publish-history] 2300/7449 published=2300 skipped=0 degraded=25 failed=0
[publish-history] 2400/7449 published=2400 skipped=0 degraded=25 failed=0
[publish-history] 2500/7449 published=2500 skipped=0 degraded=25 failed=0
[publish-history] 2600/7449 published=2600 skipped=0 degraded=28 failed=0
[publish-history] 2700/7449 published=2700 skipped=0 degraded=28 failed=0
[publish-history] 2800/7449 published=2800 skipped=0 degraded=32 failed=0
[publish-history] 2900/7449 published=2900 skipped=0 degraded=32 failed=0
[publish-history] 3000/7449 published=3000 skipped=0 degraded=32 failed=0
[publish-history] 3100/7449 published=3100 skipped=0 degraded=32 failed=0
[publish-history] 3200/7449 published=3200 skipped=0 degraded=34 failed=0
[publish-history] 3300/7449 published=3300 skipped=0 degraded=35 failed=0
[publish-history] 3400/7449 published=3400 skipped=0 degraded=35 failed=0
[publish-history] 3500/7449 published=3500 skipped=0 degraded=35 failed=0
[publish-history] 3600/7449 published=3600 skipped=0 degraded=35 failed=0
[publish-history] 3700/7449 published=3700 skipped=0 degraded=35 failed=0
[publish-history] 3800/7449 published=3800 skipped=0 degraded=35 failed=0
[publish-history] 3900/7449 published=3900 skipped=0 degraded=35 failed=0
[publish-history] 4000/7449 published=4000 skipped=0 degraded=35 failed=0
[publish-history] 4100/7449 published=4100 skipped=0 degraded=35 failed=0
[publish-history] 4200/7449 published=4200 skipped=0 degraded=35 failed=0
[publish-history] 4300/7449 published=4300 skipped=0 degraded=35 failed=0
[publish-history] 4400/7449 published=4400 skipped=0 degraded=35 failed=0
[publish-history] 4500/7449 published=4500 skipped=0 degraded=35 failed=0
[publish-history] 4600/7449 published=4600 skipped=0 degraded=35 failed=0
[publish-history] 4700/7449 published=4700 skipped=0 degraded=35 failed=0
[publish-history] 4800/7449 published=4800 skipped=0 degraded=35 failed=0
[publish-history] 4900/7449 published=4900 skipped=0 degraded=35 failed=0
[publish-history] 5000/7449 published=5000 skipped=0 degraded=35 failed=0
[publish-history] 5100/7449 published=5100 skipped=0 degraded=35 failed=0
[publish-history] 5200/7449 published=5200 skipped=0 degraded=35 failed=0
[publish-history] 5300/7449 published=5300 skipped=0 degraded=35 failed=0
[publish-history] 5400/7449 published=5400 skipped=0 degraded=35 failed=0
[publish-history] 5500/7449 published=5500 skipped=0 degraded=35 failed=0
[publish-history] 5600/7449 published=5600 skipped=0 degraded=35 failed=0
[publish-history] 5700/7449 published=5700 skipped=0 degraded=35 failed=0
[publish-history] 5800/7449 published=5800 skipped=0 degraded=35 failed=0
[publish-history] 5900/7449 published=5900 skipped=0 degraded=35 failed=0
[publish-history] 6000/7449 published=6000 skipped=0 degraded=35 failed=0
[publish-history] 6100/7449 published=6100 skipped=0 degraded=35 failed=0
[publish-history] 6200/7449 published=6200 skipped=0 degraded=35 failed=0
[publish-history] 6300/7449 published=6300 skipped=0 degraded=35 failed=0
[publish-history] 6400/7449 published=6400 skipped=0 degraded=35 failed=0
[publish-history] 6500/7449 published=6500 skipped=0 degraded=35 failed=0
[publish-history] 6600/7449 published=6600 skipped=0 degraded=35 failed=0
[publish-history] 6700/7449 published=6700 skipped=0 degraded=35 failed=0
[publish-history] 6800/7449 published=6800 skipped=0 degraded=35 failed=0
[publish-history] 6900/7449 published=6900 skipped=0 degraded=35 failed=0
[publish-history] 7000/7449 published=7000 skipped=0 degraded=35 failed=0
[publish-history] 7100/7449 published=7100 skipped=0 degraded=35 failed=0
[publish-history] 7200/7449 published=7200 skipped=0 degraded=35 failed=0
[publish-history] 7300/7449 published=7300 skipped=0 degraded=35 failed=0
[publish-history] 7400/7449 published=7400 skipped=0 degraded=35 failed=0
[publish-history] 7449/7449 published=7449 skipped=0 degraded=35 failed=0
[health] publish-history 1996-01-01..2026-09-20 published=7449 skipped=0 passed=7414 degraded=35 failed=0
