code,trade_date,open,down_limit,up_limit
601236.SH,2021-08-04,11.98,14.0,17.12
000792.SZ,2021-08-10,39.22,7.96,9.72
600277.SH,2021-08-24,3.27,3.84,4.7
600518.SH,2021-12-15,4.09,2.61,3.19
600515.SH,2021-12-22,5.58,4.46,5.46
601555.SH,2021-12-23,8.55,9.93,12.13
000564.SZ,2021-12-31,1.71,1.21,1.47
002323.SZ,2022-01-06,2.83,2.18,2.66
002948.SZ,2022-01-13,4.41,5.09,6.23
600030.SH,2022-01-27,24.81,25.07,30.65
600734.SH,2022-02-15,1.29,2.57,3.15
000981.SZ,2022-02-25,2.0,1.41,1.73
600145.SH,2022-03-30,0.29,0.93,1.13
601108.SH,2022-04-12,7.86,9.47,11.57
000065.SZ,2022-04-14,8.34,9.78,11.96
603157.SH,2022-04-22,0.67,0.95,1.16
603996.SH,2022-04-22,0.45,0.86,1.06
000835.SZ,2022-04-27,0.42,0.93,1.13
000585.SZ,2022-04-28,0.36,0.88,1.08
600958.SH,2022-04-29,8.86,10.43,12.75
600291.SH,2022-05-17,0.8,1.56,1.9
600695.SH,2022-05-17,0.51,1.53,1.87
600091.SH,2022-05-25,0.65,0.77,0.94
600209.SH,2022-05-25,0.73,1.87,2.29
600275.SH,2022-05-25,0.32,0.87,1.07
600652.SH,2022-05-25,0.7,0.92,1.12
600856.SH,2022-05-25,0.33,0.75,0.91
600890.SH,2022-05-25,0.3,0.75,0.91
000687.SZ,2022-05-26,0.33,0.59,0.73
600093.SH,2022-05-26,0.5,0.7,0.86
002473.SZ,2022-05-31,1.0,4.67,5.71
002618.SZ,2022-05-31,0.76,0.98,1.2
300178.SZ,2022-05-31,0.32,0.64,0.96
002147.SZ,2022-06-01,0.46,2.83,3.45
002770.SZ,2022-06-01,0.8,2.13,2.61
600146.SH,2022-06-02,0.31,1.07,1.31
600870.SH,2022-06-02,0.41,3.2,3.91
000502.SZ,2022-06-06,0.45,3.42,4.18
002447.SZ,2022-06-06,0.22,0.99,1.21
002684.SZ,2022-06-06,0.46,2.03,2.49
300064.SZ,2022-06-06,0.73,1.2,1.8
000611.SZ,2022-06-07,0.83,3.12,3.82
002464.SZ,2022-06-07,0.35,1.88,2.3
300325.SZ,2022-06-07,0.29,0.47,0.71
000613.SZ,2022-06-08,0.7,1.92,2.34
300023.SZ,2022-06-08,1.52,2.42,3.64
300742.SZ,2022-06-08,17.0,24.02,36.02
300038.SZ,2022-06-09,0.44,0.64,0.96
300367.SZ,2022-06-09,0.26,0.36,0.54
600090.SH,2022-06-10,0.28,0.86,1.06
600385.SH,2022-06-10,0.97,3.0,3.66
000673.SZ,2022-06-13,0.28,1.39,1.69
300202.SZ,2022-06-13,0.51,1.11,1.67
300312.SZ,2022-06-13,0.33,1.14,1.7
600555.SH,2022-06-16,0.33,1.1,1.34
002219.SZ,2022-06-23,2.61,3.06,3.74
600896.SH,2022-06-28,0.88,1.57,1.91
000670.SZ,2022-08-22,11.02,2.03,2.48
601377.SH,2022-08-25,6.16,7.08,8.66
300772.SZ,2022-11-18,16.3,16.42,24.62
601016.SH,2022-11-28,3.93,4.6,5.62
600459.SH,2022-12-22,13.98,16.77,20.49
600666.SH,2023-02-20,1.88,2.56,3.12
002499.SZ,2023-03-27,0.8,1.51,1.85
300330.SZ,2023-04-28,2.4,4.34,6.5
300309.SZ,2023-05-09,0.31,0.67,1.01
600532.SH,2023-05-30,1.67,3.01,3.67
600781.SH,2023-05-30,0.52,0.76,0.92
600242.SH,2023-05-31,0.3,0.41,0.5
600767.SH,2023-05-31,0.6,3.74,4.58
688086.SH,2023-06-08,0.99,1.94,2.9
688555.SH,2023-06-08,1.44,3.31,4.97
002781.SZ,2023-06-12,0.58,1.48,1.8
300336.SZ,2023-06-12,0.28,0.72,1.08
000606.SZ,2023-06-13,0.21,0.83,1.01
000806.SZ,2023-06-13,0.5,0.9,1.1
300273.SZ,2023-06-13,0.34,0.88,1.32
002417.SZ,2023-06-15,0.35,1.12,1.36
300392.SZ,2023-06-15,0.21,0.79,1.19
002411.SZ,2023-06-19,0.65,2.91,3.55
300526.SZ,2023-06-19,0.71,3.72,5.58
002751.SZ,2023-06-20,1.02,4.45,5.43
300089.SZ,2023-06-20,0.24,0.64,0.96
300356.SZ,2023-06-20,0.73,3.65,5.47
603489.SH,2023-06-21,68.28,55.82,68.22
601916.SH,2023-06-27,2.52,3.02,3.69
300297.SZ,2023-07-10,0.3,0.38,0.58
600081.SH,2023-08-10,11.31,13.07,15.97
000049.SZ,2023-12-08,29.99,34.1,41.68
600306.SH,2023-12-26,8.55,10.78,13.18
002021.SZ,2023-12-29,2.66,1.81,2.21
600589.SH,2023-12-29,3.19,3.46,4.22
002089.SZ,2024-03-26,0.34,0.7,0.86
603603.SH,2024-03-27,0.5,0.9,1.1
600306.SH,2024-05-29,1.0,1.79,2.19
600647.SH,2024-06-05,3.57,6.42,7.84
600766.SH,2024-06-05,0.23,8.86,10.82
603133.SH,2024-06-05,0.99,1.78,2.18
000996.SZ,2024-06-06,0.33,1.34,1.64
002087.SZ,2024-06-06,0.17,0.41,0.51
002433.SZ,2024-06-14,0.2,0.46,0.56
300282.SZ,2024-06-27,0.25,0.4,0.6
300742.SZ,2024-07-01,0.4,0.64,0.96
300799.SZ,2024-07-08,2.61,5.55,8.33
000525.SZ,2024-12-13,8.62,6.08,7.44
603007.SH,2024-12-26,8.69,11.99,14.65
603559.SH,2024-12-26,7.85,9.75,11.91
600225.SH,2025-02-07,0.62,1.12,1.36
300630.SZ,2025-04-28,0.56,1.99,2.99
002750.SZ,2025-06-06,0.78,1.02,1.24
600804.SH,2025-06-10,0.31,0.56,0.68
603003.SH,2025-06-10,2.3,3.46,4.22
002336.SZ,2025-06-13,0.61,3.32,4.06
600387.SH,2025-06-16,0.98,1.25,1.53
000584.SZ,2025-06-20,0.25,1.31,1.61
600462.SH,2025-06-24,0.48,0.86,1.06
000622.SZ,2025-06-25,0.2,1.6,1.96
300208.SZ,2025-06-30,0.24,0.69,1.03
600190.SH,2025-06-30,0.46,0.82,1.0
300280.SZ,2025-09-15,0.65,2.19,3.29
600200.SH,2025-12-09,0.62,1.12,1.36
600165.SH,2025-12-11,2.98,3.64,4.44
002713.SZ,2025-12-30,8.55,9.9,12.1
300379.SZ,2025-12-30,1.31,2.42,3.62
000691.SZ,2026-01-05,7.4,8.19,10.01
000908.SZ,2026-03-11,4.58,5.73,7.01
300391.SZ,2026-03-20,0.35,0.74,1.1
300344.SZ,2026-03-31,0.6,1.5,2.24
688287.SH,2026-05-19,0.45,0.74,1.12
600421.SH,2026-06-01,2.04,3.67,4.49
600599.SH,2026-06-01,1.98,3.56,4.35
600636.SH,2026-06-01,2.3,4.06,4.96
600696.SH,2026-06-01,0.66,1.18,1.44
600193.SH,2026-06-08,1.09,1.95,2.39
600608.SH,2026-06-08,0.2,1.86,2.28
605081.SH,2026-06-08,1.01,4.53,5.53
300029.SZ,2026-06-18,0.2,2.22,3.32
