code,trade_date,open,high,low,close,volume,amount,m_volume,m_amount,m_low,m_high,n_bars,d_vwap,d_vwap_v100,m_vwap,vol_ratio,vol_ratio_v100,amt_ratio,m_vwap_in_band,d_vwap_v100_in_band,d_vwap_in_band
000725.SZ,2015-05-27,4.87,4.98,4.82,4.94,2678322294.0,13133779968.0,,,,,,4.903733952191789,0.0490373395219179,,,,,,false,true
601988.SH,2015-06-08,4.72,5.17,4.72,5.17,4091793824.0,20605401088.0,,,,,,5.035786741536467,0.05035786741536467,,,,,,false,true
601288.SH,2015-07-03,3.58,3.64,3.45,3.51,1407513412.0,5004755968.0,,,,,,3.5557430041739453,0.03555743004173945,,,,,,false,true
601988.SH,2015-07-07,4.8,5.39,4.79,5.39,4071144636.0,21157787648.0,,,,,,5.197012029714584,0.05197012029714584,,,,,,false,true
600221.SH,2024-11-07,2.13,2.22,1.9,2.22,3682193821.0,7823454720.0,3682193800.0,7831029973.0,1.91,2.22,240,2.1246721656480667,0.021246721656480668,2.126729444006994,0.9999999942968781,0.009999999942968782,1.0009682746652364,true,false,true
600157.SH,2024-12-06,1.68,1.85,1.67,1.85,2562111597.0,4570956288.0,2562111600.0,4570668563.0,1.67,1.85,240,1.7840582328077257,0.017840582328077257,1.783945930770541,1.0000000011709091,0.010000000011709092,0.999937053653137,true,false,true
600010.SH,2025-10-13,2.79,2.79,2.7,2.79,2559651612.0,7104522752.0,2559651600.0,7104320709.0,2.7,2.79,240,2.7755819263422477,0.02775581926342248,2.7755030055652887,0.999999995311862,0.00999999995311862,0.9999715613550617,true,false,true
601868.SH,2026-03-11,3.15,3.45,3.09,3.45,1892515569.0,6294150656.0,1892515600.0,6294150719.0,3.09,3.45,240,3.3258118237441034,0.033258118237441035,3.3258118025552865,1.0000000163803144,0.010000000163803143,1.0000000100092934,true,false,true
000725.SZ,2026-05-21,4.69,4.69,4.69,4.69,1036009984.0,4858886656.0,1036009996.0,4858886518.0,4.69,4.69,240,4.689999836912769,0.046899998369127685,4.689999649385622,1.0000000115829,0.010000000115829,0.9999999715984319,true,false,true
000725.SZ,2026-06-04,5.69,6.15,5.69,6.15,3322998784.0,19950266368.0,3322998788.0,19950266158.0,5.69,6.15,240,6.003693550554125,0.06003693550554125,6.003693480131356,1.000000001203732,0.01000000001203732,0.9999999894738247,true,false,true
000725.SZ,2026-06-25,7.33,7.67,7.14,7.52,3696354816.0,27560398848.0,3696354800.0,27560399299.0,7.14,7.67,240,7.456102084329775,0.07456102084329774,7.456102238616271,0.9999999956714112,0.009999999956714111,1.0000000163640592,true,false,true
000725.SZ,2026-06-29,7.96,8.21,7.51,7.95,4152457728.0,32489060352.0,4152457600.0,32489060009.0,7.51,8.21,240,7.824055650928471,0.07824055650928471,7.824055809504232,0.9999999691748819,0.009999999691748819,0.9999999894426002,true,false,true
