code,trade_date,open,high,low,close,volume,amount,m_volume,m_amount,m_low,m_high,n_bars,d_vwap,d_vwap_v100,m_vwap,vol_ratio,vol_ratio_v100,amt_ratio,m_vwap_in_band,d_vwap_v100_in_band,d_vwap_in_band
000725.SZ,2015-05-28,4.95,5.43,4.89,5.16,51354665.0,27293497344.0,,,,,,531.4706530360971,5.314706530360971,,,,,,true,false
601988.SH,2015-06-09,5.25,5.46,5.12,5.29,47953531.0,25401788416.0,,,,,,529.7167463226014,5.297167463226014,,,,,,true,false
601288.SH,2015-07-06,3.8,3.86,3.65,3.86,43720880.0,16565088256.0,,,,,,378.882773082335,3.7888277308233502,,,,,,true,false
601988.SH,2015-07-08,5.1,5.6,4.85,5.59,51098974.0,27465121792.0,,,,,,537.4887134133065,5.374887134133065,,,,,,true,false
600221.SH,2024-11-08,2.36,2.44,2.18,2.23,44617929.0,10447899648.0,4461792900.0,10455670530.0,2.22,2.44,240,234.16370688115086,2.3416370688115085,2.343378718900198,100.0,1.0,1.0007437745634824,true,true,false
600157.SH,2024-12-09,2.04,2.04,1.9,1.95,56161348.0,11199149056.0,5616134800.0,11203600671.0,1.9,2.04,240,199.4102608790658,1.994102608790658,1.9948952562534645,100.0,1.0,1.0003974958255972,true,true,false
600157.SH,2024-12-10,1.95,2.14,1.92,2.01,43432514.0,8748469248.0,4343251400.0,8749048196.0,1.93,2.14,240,201.42672947736804,2.0142672947736804,2.0144005930672124,100.0,1.0,1.0000661770629338,true,true,false
600010.SH,2025-10-14,2.93,3.07,2.88,2.91,51712529.0,15530844160.0,5171252900.0,15534942732.0,2.89,3.07,240,300.33039304652846,3.003303930465284,3.00409649893549,100.0,1.0,1.000263898855579,true,true,false
601868.SH,2026-03-12,3.52,3.8,3.5,3.8,47846559.0,17458274304.0,4784655900.0,17458275130.0,3.5,3.8,240,364.8804567952316,3.648804567952316,3.64880474058751,100.0,1.0,1.0000000473128092,true,true,false
000725.SZ,2026-05-22,4.7,5.16,4.47,5.16,60110592.0,29162864640.0,6011059208.0,29162866146.0,4.47,5.16,240,485.15350905211517,4.851535090521152,4.851535334602547,100.00000013308802,1.0000000013308803,1.0000000516410175,true,true,false
000725.SZ,2026-05-25,5.17,5.37,5.06,5.27,43088757.0,22498861056.0,4308875800.0,22504472950.0,5.07,5.36,240,522.1515453787632,5.221515453787632,5.222817735892968,100.00000232079101,1.00000002320791,1.0002494301371982,true,true,false
000725.SZ,2026-05-26,5.22,5.8,5.18,5.77,51377249.0,28645746688.0,5137725100.0,28647570059.0,5.19,5.8,240,557.5570363450172,5.575570363450172,5.5759250449192,100.00000389277363,1.0000000389277364,1.00006365241653,true,true,false
000725.SZ,2026-05-27,5.8,6.09,5.53,5.72,50185216.0,29012705280.0,5018521600.0,29017203385.0,5.54,6.08,240,578.1125915648146,5.781125915648146,5.782022216463111,100.0,1.0,1.0001550391442848,true,true,false
000725.SZ,2026-06-05,6.11,6.77,6.01,6.43,55041157.0,35684790272.0,5504115500.0,35684789777.0,6.01,6.77,240,648.3292179341361,6.483292179341361,6.483292324988456,99.99999636635545,0.9999999636635545,0.9999999861285439,true,true,false
000725.SZ,2026-06-08,6.48,6.74,6.22,6.29,45998760.0,29701642240.0,4599875904.0,29701641657.0,6.22,6.74,240,645.7052807510463,6.457052807510463,6.457052815527434,99.99999791298723,0.9999999791298722,0.9999999803714558,true,true,false
000725.SZ,2026-06-26,7.5,8.24,7.36,7.79,45251768.0,35676680192.0,4525176900.0,35676682287.0,7.36,8.24,240,788.4041169838933,7.884041169838933,7.884041458578117,100.00000220985841,1.000000022098584,1.0000000587218314,true,true,false
000725.SZ,2026-06-30,8.15,8.75,8.11,8.68,51878999.0,44556779520.0,5187899680.0,44556778023.0,8.11,8.75,240,858.8596614980949,8.588596614980949,8.588596690636084,99.99999575936305,0.9999999575936305,0.9999999664024192,true,true,false
000725.SZ,2026-07-01,8.49,8.81,8.31,8.77,46253148.0,39601266688.0,4625315000.0,39601267517.0,8.31,8.81,240,856.1853279262203,8.561853279262204,8.56185308827615,100.00000432403002,1.0000000432403,1.000000020933674,true,true,false
000725.SZ,2026-07-02,8.15,9.5,7.89,9.1,56618588.0,49342410752.0,5661858900.0,49342409857.0,7.89,9.5,240,871.4878363268261,8.71487836326826,8.714878051270405,100.00000176620442,1.000000017662044,0.9999999818614457,true,true,false
