trade_date,code,class,open,high,low,close,volume,amount,vwap,ratio,adj_factor,fq_factor,float_shares,total_shares
1996-01-02,601607.SH,other,7.1,7.15,7.1,7.13,33000.0,205000.0,6.212121212121212,0.871265247141825,1.0308555399719495,1.0,1500.0,5796.66
1996-01-08,600843.SH,other,13.31,13.5,13.31,13.46,1000.0,14072.0,14.072,1.0454680534918275,1.012630014858841,1.0,1200.0,19420.49
1996-01-19,600827.SH,other,7.21,7.24,7.21,7.23,1400.0,10403.0,7.430714285714286,1.027761311993677,1.2171507607192256,1.2,1203.66,10200.0
1996-01-29,600616.SH,other,7.9,7.9,7.88,7.9,2500.0,20381.0,8.1524,1.0319493670886075,25.40253164556962,27.65,2018.3,6259.84
1996-02-02,600616.SH,other,8.0,8.0,7.99,8.0,4400.0,35920.0,8.163636363636364,1.0204545454545455,25.43125,27.65,2018.3,6259.84
1996-02-06,600851.SH,other,9.6,9.6,9.55,9.57,1200.0,11962.0,9.968333333333334,1.0416231278300243,1.142110762800418,1.1,1100.0,14117.52
1996-02-07,600817.SH,other,7.04,7.04,7.02,7.04,3200.0,23063.0,7.2071875,1.0237482244318181,1.4630681818181819,1.54,1124.2,8251.8
1996-02-08,600613.SH,other,7.88,7.88,7.65,7.65,1200.0,9000.0,7.5,0.9803921568627451,12.48627450980392,12.0,600.0,9724.97
1996-02-09,600885.SH,other,6.66,6.66,6.66,6.66,2541200.0,16030000.0,6.308043444042185,0.9471536702766044,1.0,1.0,2340.0,9271.94
1996-02-09,601607.SH,other,6.57,6.6,6.52,6.57,5500.0,70000.0,12.727272727272727,1.9371800193718,1.0334855403348553,1.0,1500.0,5796.66
1996-02-12,600616.SH,other,7.9,7.94,7.8,7.89,3300.0,26537.0,8.041515151515151,1.0192034412566733,25.400506970849175,27.65,2018.3,6259.84
1996-02-13,600620.SH,other,7.25,7.5,7.25,7.43,3900.0,29605.0,7.591025641025641,1.021672360837906,27.55450874831763,33.8,2028.0,7428.26
1996-03-28,600616.SH,other,8.11,8.19,8.11,8.19,2600.0,21547.0,8.287307692307692,1.0118812811120503,25.482295482295484,27.65,2018.3,6259.84
1996-05-13,000503.SZ,other,2.4,2.65,2.4,2.63,3040300.0,6781646.5,2.2305846462520145,0.8481310442022869,1.247148288973384,2.14,6976.1,20134.54
1996-08-19,000534.SZ,other,5.2,5.55,5.2,5.4,7996100.0,30351150.0,3.7957441752854515,0.7029155880158243,2.0796296296296295,1.94,8016.0,18932.85
1996-09-19,000532.SZ,other,3.7,4.28,3.66,4.28,2526200.0,11180181.0,4.425691156678014,1.0340399898780406,1.792056074766355,2.21,6925.25,21839.22
2000-02-15,000503.SZ,other,48.78,48.78,48.78,48.78,7800.0,385215.66,49.38662307692307,1.0124358974358973,2.091840918409184,2.14,6976.1,20134.54
2000-02-16,000503.SZ,other,51.22,51.22,51.22,51.22,3700.0,191921.34,51.87063243243243,1.0127027027027027,2.0941038656774698,2.14,6976.1,20134.54
2001-07-20,600633.SH,other,6.46,6.46,6.46,6.46,1600.0,10543.0,6.589375,1.0200270897832817,2.2105263157894735,2.64,1320.0,15205.08
