trade_date,code,vendor_volume,vendor_amount,vendor_turnover_pct,daily_fact_volume,daily_fact_amount,vendor_eq_daily,turnover_x100,prev_volume,next_volume,prev_amount,next_amount,prev_turnover_pct,next_turnover_pct,vol_ratio_vs_prev_x100,amt_ratio_vs_prev
2015-05-28,000725.SZ,51354665.0,27293497344.0,0.22,51354665.0,27293497344.0,true,22.0,2678322294.0,3384298807.0,13133779968.0,17203173376.0,11.469,14.492,1.9174191662835034,2.0781144050303615
2015-06-09,601988.SH,47953531.0,25401788416.0,0.023,47953531.0,25401788416.0,true,2.3,4091793824.0,2064957369.0,20605401088.0,10629579776.0,1.941,0.98,1.1719439703616894,1.232773305771431
2015-07-06,601288.SH,43720880.0,16565088256.0,0.015,43720880.0,16565088256.0,true,1.5,1407513412.0,3741099332.0,5004755968.0,15103792128.0,0.479,1.272,3.1062496191688154,3.3098693246815265
2015-07-08,601988.SH,51098974.0,27465121792.0,0.024,51098974.0,27465121792.0,true,2.4,4071144636.0,3323468180.0,21157787648.0,18458853376.0,1.932,1.577,1.2551500516131504,1.2981093415310943
2024-11-08,600221.SH,44617929.0,10447899648.0,0.136,44617929.0,10447899648.0,true,13.600000000000001,3682193821.0,2952924335.0,7823454720.0,6043183616.0,11.201,8.983,1.2117213587600553,1.3354585693825043
2024-12-09,600157.SH,56161348.0,11199149056.0,0.253,56161348.0,11199149056.0,true,25.3,2562111597.0,43432514.0,4570956288.0,8748469248.0,11.532,0.195,2.191994605768142,2.450066977319561
2024-12-10,600157.SH,43432514.0,8748469248.0,0.195,43432514.0,8748469248.0,true,19.5,56161348.0,2941804954.0,11199149056.0,5687376896.0,0.253,13.241,77.33524131222777,0.7811726769823609
2025-10-14,600010.SH,51712529.0,15530844160.0,0.165,51712529.0,15530844160.0,true,16.5,2559651612.0,3463425238.0,7104522752.0,9691838464.0,8.157,11.037,2.020295604197248,2.186050309379036
2026-03-12,601868.SH,47846559.0,17458274304.0,0.148,47846559.0,17458274304.0,true,14.799999999999999,1892515569.0,3798167360.0,6294150656.0,14411953152.0,5.836,11.712,2.5281989635246167,2.773729969008228
2026-05-22,000725.SZ,60110592.0,29162864640.0,0.165,60110592.0,29162864640.0,true,16.5,1036009984.0,43088757.0,4858886656.0,22498861056.0,2.851,0.119,5.802124779523361,6.001964380870711
2026-05-25,000725.SZ,43088757.0,22498861056.0,0.119,43088757.0,22498861056.0,true,11.899999999999999,60110592.0,51377249.0,29162864640.0,28645746688.0,0.165,0.141,71.68246987153279,0.7714900896649363
2026-05-26,000725.SZ,51377249.0,28645746688.0,0.141,51377249.0,28645746688.0,true,14.099999999999998,43088757.0,50185216.0,22498861056.0,29012705280.0,0.119,0.138,119.23585774358726,1.2732087467316817
2026-05-27,000725.SZ,50185216.0,29012705280.0,0.138,50185216.0,29012705280.0,true,13.8,51377249.0,3285486848.0,28645746688.0,18529038336.0,0.141,9.041,97.67984268678924,1.0128102295952273
2026-06-05,000725.SZ,55041157.0,35684790272.0,0.151,55041157.0,35684790272.0,true,15.1,3322998784.0,45998760.0,19950266368.0,29701642240.0,9.144,0.127,1.6563700614342445,1.7886874096697776
2026-06-08,000725.SZ,45998760.0,29701642240.0,0.127,45998760.0,29701642240.0,true,12.7,55041157.0,4003164672.0,35684790272.0,25595961344.0,0.151,11.319,83.57157172404642,0.8323333838760245
2026-06-26,000725.SZ,45251768.0,35676680192.0,0.128,45251768.0,35676680192.0,true,12.8,3696354816.0,4152457728.0,27560398848.0,32489060352.0,10.451,11.741,1.2242268465171067,1.2944907070744
2026-06-30,000725.SZ,51878999.0,44556779520.0,0.147,51878999.0,44556779520.0,true,14.7,4152457728.0,46253148.0,32489060352.0,39601266688.0,11.741,0.131,1.249356463045492,1.3714394641535739
2026-07-01,000725.SZ,46253148.0,39601266688.0,0.131,46253148.0,39601266688.0,true,13.100000000000001,51878999.0,56618588.0,44556779520.0,49342410752.0,0.147,0.16,89.15582199263328,0.8887820689604454
2026-07-02,000725.SZ,56618588.0,49342410752.0,0.16,56618588.0,49342410752.0,true,16.0,46253148.0,4144206592.0,39601266688.0,35597369344.0,0.131,11.718,122.41023681242193,1.2459806182652176
