时间,委托编号,交易所委托号,委托类型,委托代码,委托价格,委托数量
93000240,0,206608,D,B,154000,5000
93000280,0,322359,A,B,145200,1500
93000410,0,323083,A,B,150000,1000
93000450,0,230528,D,B,145400,7100
93000470,0,323356,A,S,166100,2000
93001280,0,324352,A,B,160000,4800
93001530,0,324910,A,B,155000,1000
93002110,0,291325,D,S,161000,100
93002130,0,327318,A,B,160000,2400
93002220,0,327942,A,B,160000,100
93002320,0,328247,A,S,177400,700
93002340,0,328757,A,B,160000,400
93002380,0,328977,A,S,160500,700
93002540,0,329878,A,S,168900,1500
93002610,0,331301,A,B,160000,500
93002610,0,331512,A,B,158000,1500
93002610,0,331613,A,B,156000,1500
93002610,0,331925,A,B,159100,300
93002610,0,332014,A,B,154000,1100
93002760,0,332689,A,S,163800,3200
93002910,0,334362,A,S,177400,700
93002910,0,334594,A,B,160300,6000
93002910,0,335169,A,S,177400,400
93002910,0,295249,D,B,159900,500
93003080,0,336175,A,S,161200,500
93003080,0,336844,A,S,176000,1400
93003080,0,337030,A,B,160000,200
93003240,0,337637,A,B,155100,1500
93003240,0,338664,A,B,159100,1500
93003420,0,339261,A,B,158900,200
93003420,0,339376,A,B,152200,500
93003420,0,339533,A,S,172900,200
93003420,0,338664,D,B,159100,1500
93003580,0,341285,A,B,150000,100
93003580,0,341419,A,B,155700,600
93003580,0,341529,A,B,154800,1500
93003580,0,341991,A,B,160000,200
93003740,0,344193,A,B,150000,100
93003740,0,344285,A,B,160200,100
93003880,0,345410,A,B,146800,600
93003890,0,346169,A,B,157700,500
93004060,0,346620,A,S,167600,1000
93004060,0,346826,A,B,153000,2500
93004060,0,346934,A,B,160000,200
93004210,0,348174,A,B,155200,1000
93004210,0,348405,A,B,159900,100
93004210,0,348692,A,B,159000,1500
93004210,0,349053,A,S,161000,100
93004380,0,351016,A,B,159900,300
93004550,0,351934,A,B,150000,100
93004730,0,206770,D,B,155000,2000
93004730,0,354089,A,S,161900,2500
93004730,0,354891,A,B,160000,200
93004910,0,355807,A,B,160300,10000
93005090,0,356986,A,B,159400,300
93005090,0,358338,A,B,160000,600
93005090,0,358553,A,B,160200,26500
93005090,0,296151,D,S,162000,6000
93005240,0,359711,A,B,159700,1300
93005240,0,359949,A,B,160000,1000
93005410,0,360452,A,B,160000,900
93005410,0,360594,A,B,160000,100
93005410,0,247306,D,S,162000,100
93005560,0,363341,A,S,162700,2000
93005560,0,363472,A,S,165000,500
93005750,0,364322,A,B,160000,1400
93005750,0,364883,A,S,169800,30600
93005750,0,365129,A,S,160700,600
93005750,0,365169,A,B,160100,1000
93005890,0,365883,A,S,168600,20000
93005890,0,366018,A,S,162900,600
93005890,0,366073,A,B,160000,400
93005890,0,108183,D,S,161300,1500
