时间,成交编号,成交代码,委托代码,BS标志,成交价格,成交数量,叫卖序号,叫买序号
93000010,547013,C,0, ,0,600,0,397789
93000020,549207,C,0, ,0,800,0,257527
93000020,549661,C,0, ,0,5000,0,400666
93000020,549662,C,0, ,0,7500,0,275102
93000030,552181,C,0, ,0,11000,0,308264
93000030,556906,C,0, ,0,400,0,434810
93000030,557839,C,0, ,0,1000,0,256383
93000030,558942,0,0,B,122500,200,5262,558941
93000030,558943,0,0,B,122500,200,153035,558941
93000030,558944,0,0,B,122500,300,404743,558941
93000030,558945,0,0,B,122500,900,548926,558941
93000040,562106,C,0, ,0,400,0,377129
93000040,562234,0,0,B,122500,500,548926,562233
93000040,562235,0,0,B,122500,200,557129,562233
93000040,563421,C,0, ,0,400,0,386035
93000040,563855,0,0,S,122500,400,563854,562233
93000040,564299,C,0, ,0,100,0,393587
93000040,565436,C,0, ,0,10000,0,408948
93000040,565797,0,0,S,122500,800,565796,562233
93000040,566574,C,0, ,0,100,0,421518
93000040,567491,0,0,S,122500,200,567490,562233
93000040,568557,0,0,S,122500,400,568556,562233
93000040,569979,C,0, ,0,200,0,394259
93000040,570826,C,0, ,0,2500,0,232409
93000050,574031,0,0,B,122600,100,13428,574030
93000050,574032,0,0,B,122600,100,20106,574030
93000050,574033,0,0,B,122600,200,76697,574030
93000050,574034,0,0,B,122600,100,80866,574030
93000050,574035,0,0,B,122600,500,161286,574030
93000050,574970,C,0, ,0,15200,0,288388
93000050,577910,0,0,B,122600,500,161286,577909
93000050,577911,0,0,B,122600,500,198655,577909
93000060,584394,0,0,B,122600,500,198655,584393
93000060,584395,0,0,B,122600,100,221722,584393
93000060,584396,0,0,B,122700,2500,282198,584393
93000060,584397,0,0,B,122700,800,411946,584393
93000060,584398,0,0,B,122700,2900,569962,584393
93000060,584399,0,0,B,122800,2100,329344,584393
93000060,584400,0,0,B,122900,1300,346249,584393
93000060,584401,0,0,B,122900,900,422931,584393
93000060,584402,0,0,B,123000,2000,247244,584393
93000060,584403,0,0,B,123000,2000,396421,584393
93000060,584404,0,0,B,123000,500,457296,584393
93000060,584831,C,0, ,0,500,0,394520
93000060,585952,C,0, ,0,11300,0,402631
93000060,586347,0,0,S,123000,200,586346,584393
93000060,586436,C,0, ,0,700,0,267250
93000060,586856,C,0, ,0,1000,0,347441
93000060,587613,C,0, ,0,5000,0,448821
93000070,593339,C,0, ,0,400,0,309066
93000080,594397,C,0, ,0,100,0,353084
93000080,595479,C,0, ,0,500,0,405577
93000080,595694,C,0, ,0,1600,0,420238
93000080,595783,C,0, ,0,800,586346,0
93000090,602559,C,0, ,0,2100,0,451218
93000090,602560,C,0, ,0,2100,0,418930
93000090,605060,0,0,S,122500,1000,605059,562233
93000100,606829,0,0,S,122500,200,606828,573522
93000100,606830,0,0,S,122200,500,606828,578220
93000100,606831,0,0,S,122200,400,606828,587461
93000100,606832,0,0,S,122100,300,606828,546715
93000100,606833,0,0,S,122100,300,606828,546912
93000100,606834,0,0,S,122100,400,606828,548610
93000100,606835,0,0,S,122100,500,606828,549868
93000100,606836,0,0,S,122100,600,606828,549871
93000100,606837,0,0,S,122100,300,606828,549878
93000100,607635,0,0,S,122100,200,607634,549878
93000100,611950,C,0, ,0,12900,329159,0
93000110,613253,C,0, ,0,1500,0,277551
93000110,615093,C,0, ,0,500,0,343331
93000110,615920,0,0,S,122500,1000,615919,609277
