时间,成交编号,成交代码,委托代码,BS标志,成交价格,成交数量,叫卖序号,叫买序号
93000240,382331,,,B,160000,700,128259,322262
93000240,382332,,,B,160000,4100,287789,322262
93001240,385334,,,S,159900,100,324161,246925
93001240,385335,,,S,159900,100,324161,255022
93002540,392288,,,B,160500,300,328977,329784
93002610,394177,,,B,160500,400,328977,331305
93002610,394178,,,B,160700,100,263300,331305
93002760,396381,,,S,160000,1000,333142,324352
93003580,406296,,,S,160300,2300,341365,334594
93004210,415962,,,S,160300,200,349465,334594
93004550,420252,,,S,160300,100,352925,334594
93004730,421474,,,S,160300,200,353881,334594
93005240,427627,,,S,160300,500,358850,334594
93005410,431214,,,S,160300,300,361740,334594
93005560,433721,,,S,160300,200,363734,334594
93005750,435913,,,S,160300,100,365500,334594
93006040,439640,,,S,160300,100,368479,334594
93006340,443789,,,S,160300,200,371749,334594
93007000,453039,,,B,160700,200,263300,378821
93007150,455794,,,S,160300,100,381039,334594
93007620,462108,,,S,160300,200,386076,334594
93007780,462877,,,S,160300,100,386692,334594
93008070,468365,,,S,160300,1000,391162,334594
93008660,476174,,,B,160500,100,386055,397507
93008660,477447,,,S,160300,200,398591,334594
93008970,480936,,,S,160300,200,401589,334594
93008970,480937,,,S,160300,600,401589,355807
93009130,482374,,,B,160500,100,386055,402890
93009130,482375,,,B,160600,200,390265,402890
93009130,482376,,,B,160600,100,390266,402890
93009130,482377,,,B,160600,100,390267,402890
93009130,482378,,,B,160600,200,390277,402890
93009430,488237,,,S,160300,900,407835,355807
93009590,488750,,,S,160300,1000,408253,355807
93009760,490715,,,B,160600,100,390278,409927
93009920,493048,,,B,160600,100,390279,411952
93009920,493070,,,B,160600,100,390279,411973
93009920,493082,,,B,160600,100,390279,411985
93009920,493170,,,B,160600,100,390279,412064
93010070,495237,,,S,160300,300,413823,355807
93010070,496739,,,S,160300,2200,415126,355807
93010530,501904,,,S,160300,2000,419271,355807
93010530,503255,,,S,160300,1000,420361,355807
93010710,504057,,,B,160500,400,416295,421035
93010710,504058,,,B,160600,200,390279,421035
93010710,504059,,,B,160600,600,390290,421035
93010710,504060,,,B,160600,1400,390439,421035
93010710,505151,,,B,160600,100,390439,421919
93010710,505152,,,B,160600,100,390439,421920
93010710,505153,,,B,160600,100,390439,421921
93010710,505154,,,B,160600,100,390439,421922
93010710,505155,,,B,160600,200,390439,421923
93010710,505156,,,B,160600,100,390751,421923
93010710,505157,,,B,160600,200,408100,421923
93010710,505158,,,B,160700,100,263300,421924
93010710,505159,,,B,160700,100,263300,421925
93010710,505160,,,B,160700,500,263300,421926
93010710,505161,,,B,160700,100,263300,421927
93010710,505169,,,B,160700,100,263300,421935
93010710,505395,,,B,160700,300,263300,422120
93010710,505396,,,B,160700,600,365129,422120
93010710,505517,,,B,160700,200,390731,422218
93010710,505518,,,B,160700,100,390739,422218
93011120,509168,,,S,160500,900,425100,422022
93011120,509169,,,S,160300,600,425100,355807
93011280,512409,,,B,160700,100,390739,427691
93011280,512410,,,B,160700,200,391103,427691
93011280,512411,,,B,160700,700,407597,427691
93011280,512412,,,B,160700,800,407704,427691
93011430,513781,,,S,160400,400,428826,425714
93011430,513782,,,S,160300,700,428826,355807
93011430,514889,,,B,160700,100,407704,429718
93011430,514973,,,B,160700,1500,407704,429781
93011580,516796,,,B,160600,1000,430163,431305
93011580,517227,,,B,160600,400,430163,431673
93011730,517572,,,B,160600,100,430163,431946
93011730,517769,,,B,160600,600,430163,432110
93011730,518992,,,B,160600,300,430163,433147
93011730,519156,,,B,160600,100,430163,433292
93011900,519833,,,S,160300,200,433868,355807
93011900,521669,,,B,160600,100,430163,435244
93012050,522275,,,B,160600,100,430163,435719
93012260,524828,,,B,160600,100,430163,437768
93012260,524870,,,B,160600,100,430163,437804
93012260,525579,,,B,160600,600,430163,438400
93012260,525588,,,B,160600,300,430163,438408
93012260,526036,,,S,160500,900,438764,434263
93012260,526037,,,S,160400,1300,438764,434664
93012260,526045,,,B,160600,100,430163,438771
93012260,526571,,,B,160600,100,430163,439246
93012450,527438,,,B,160600,200,430163,439984
93012450,527856,,,B,160600,1200,430163,440320
93012560,528837,,,S,160400,700,441152,434664
93012560,528838,,,S,160400,100,441152,435962
93012560,528839,,,S,160300,500,441152,355807
93012560,528840,,,S,160300,100,441152,409027
93012560,528841,,,S,160300,100,441152,409098
93012560,528842,,,S,160300,100,441152,419144
93012560,528843,,,S,160300,1300,441152,420629
93012560,528844,,,S,160300,300,441152,434768
93012560,528845,,,S,160200,100,441152,344285
93012560,528846,,,S,160200,200,441152,358553
93012560,528866,,,B,160600,600,430163,441167
93012560,528867,,,B,160700,800,407704,441167
93012560,528967,,,B,160700,100,407704,441249
93012560,530975,,,B,160600,100,441278,442541
93012730,532806,,,B,160600,100,441477,444039
93012880,535164,,,B,160700,200,407704,445919
93012880,535165,,,B,160700,200,407704,445920
93013040,536227,,,S,160600,100,446795,444039
93013040,537114,,,S,160600,200,447506,444039
93013040,537115,,,S,160400,100,447506,442783
93013040,537116,,,S,160400,200,447506,444583
93013040,537117,,,S,160400,400,447506,446158
93013040,537118,,,S,160300,100,447506,443319
93013260,539077,,,B,160700,100,407704,449101
93013260,539165,,,S,160300,400,449181,443319
93013350,541856,,,B,160700,100,407704,451350
93013640,544549,,,S,160500,200,453326,450453
93013640,544550,,,S,160300,800,453326,443319
93013640,546250,,,S,160300,1000,454454,443319
93013970,549724,,,S,160500,100,457335,455217
93013970,549725,,,S,160300,200,457335,443319
93013970,549726,,,S,160200,500,457335,358553
93014080,551309,,,B,160600,100,453946,458631
93014080,551873,,,B,160700,300,407704,459112
93014440,556089,,,B,160700,400,407704,462321
93014440,557759,,,B,160700,100,407704,463568
93014610,560185,,,S,160200,200,465405,358553
93014880,562719,,,B,160700,300,407704,467310
93015040,564268,,,B,160700,100,407704,468424
93015040,565478,,,B,160700,100,407704,469363
93015040,565969,,,B,160700,100,407704,469758
93015040,565970,,,B,160700,700,407704,469759
93015210,566449,,,B,160700,100,407704,470150
93015210,566450,,,B,160700,200,455954,470150
93015290,568644,,,B,160700,400,455954,471809
93015430,570495,,,B,161000,600,139728,473133
93015430,571663,,,B,161000,100,139728,473879
93015430,571664,,,B,161000,500,233729,473879
93015590,573789,,,S,160900,200,475456,474299
93015590,574056,,,S,160900,400,475673,474299
93015590,574057,,,S,160700,100,475673,471809
93015590,574161,,,S,160700,200,475747,471809
93015760,574699,,,S,160700,500,476167,471809
93015760,574700,,,S,160700,100,476167,472118
93015760,574701,,,S,160700,100,476167,472759
93015760,574702,,,S,160700,1100,476167,473742
93015920,579030,,,S,160700,100,478998,473742
93016100,579262,,,S,160700,400,479180,473742
93016100,579263,,,S,160700,100,479180,474021
93016100,579264,,,S,160700,100,479180,474046
93016100,579265,,,S,160700,4500,479180,474073
93016100,579266,,,S,160700,100,479180,474324
93016100,579267,,,S,160700,100,479180,474331
93016100,579268,,,S,160700,100,479180,474618
93016100,579269,,,S,160700,100,479180,474619
93016100,579270,,,S,160700,100,479180,474622
93016100,579271,,,S,160700,500,479180,474623
93016100,579272,,,S,160700,100,479180,474687
93016100,579273,,,S,160700,100,479180,474719
93016100,579274,,,S,160700,300,479180,474861
93016100,579275,,,S,160700,200,479180,474866
93016100,579276,,,S,160700,100,479180,474873
93016100,579277,,,S,160700,400,479180,474961
93016100,579278,,,S,160700,100,479180,475548
93016100,579279,,,S,160700,100,479180,475904
93016100,579280,,,S,160700,600,479180,476592
93016100,579281,,,S,160700,400,479180,478466
93016100,579724,,,B,160700,300,479180,479498
93016100,579916,,,S,160700,100,479639,479498
93016260,582131,,,S,160700,100,481359,479498
93016260,582132,,,S,160700,100,481359,479607
93016260,582133,,,S,160700,100,481359,479759
93016260,582134,,,S,160700,100,481359,480139
93016260,582135,,,S,160600,100,481359,466017
93016260,582136,,,S,160400,100,481359,469494
93016260,582137,,,S,160400,200,481359,473609
93016260,583020,,,S,160700,100,482001,481579
93016260,583021,,,S,160400,200,482001,473609
93016400,584554,,,S,160900,100,483123,482539
93016400,584555,,,S,160800,100,483123,482640
93016400,584556,,,S,160700,100,483123,482753
93016400,584557,,,S,160700,200,483123,483085
93016480,584884,,,B,160500,900,483123,483380
93016480,585220,,,B,160500,200,483123,483650
93017070,593346,,,S,160900,400,489586,488636
93017380,597653,,,S,160700,200,492749,483650
93017380,597654,,,S,160700,100,492749,483973
93017380,597655,,,S,160700,1300,492749,486911
93017460,598972,,,S,160700,100,493723,486911
93017460,598981,,,S,160700,2000,493732,486911
93017460,598982,,,S,160700,200,493732,487910
93017460,598983,,,S,160700,400,493732,488375
93017460,598984,,,S,160700,1300,493732,488411
93017460,598985,,,S,160700,900,493732,488454
93017460,598986,,,S,160700,200,493732,488693
93017460,598987,,,S,160700,1300,493732,489303
93017460,598988,,,S,160700,700,493732,490946
93017610,600763,,,B,161000,200,248815,494955
93017960,605228,,,B,161000,200,248815,498094
93018130,608237,,,S,160700,400,500280,490946
93018200,608582,,,S,160700,1800,500565,490946
93018200,608583,,,S,160700,300,500565,492607
93018200,608584,,,S,160700,300,500565,492976
93018200,608585,,,S,160700,500,500565,493129
93018200,608586,,,S,160700,100,500565,494034
93018200,608587,,,S,160700,300,500565,494239
93018200,608588,,,S,160700,200,500565,494472
93018200,608589,,,S,160700,300,500565,498056
93018200,608590,,,S,160700,200,500565,499218
93018360,613145,,,B,161000,100,248815,503742
93018360,613148,,,B,161000,100,248815,503744
93018360,613149,,,B,161000,100,290710,503745
93018360,613150,,,B,161000,100,290710,503746
93018360,613152,,,B,161000,100,290710,503747
93018500,613153,,,B,161000,100,290710,503748
93018500,613154,,,B,161000,100,290710,503749
93018500,613155,,,B,161000,200,290710,503750
93018500,613157,,,B,161000,100,290710,503752
93018500,614518,,,S,160900,200,504730,502245
93018500,615277,,,S,160900,800,505294,502245
93018500,615278,,,S,160800,400,505294,500574
93018500,615279,,,S,160800,200,505294,502243
93018500,615280,,,S,160800,100,505294,502432
93018500,615281,,,S,160800,1100,505294,503741
93018500,615282,,,S,160700,300,505294,499218
93018500,615283,,,S,160700,1600,505294,499719
93018830,618711,,,B,161000,600,290710,507770
93018830,619724,,,B,161000,100,290710,508478
93018830,619725,,,B,161000,100,349053,508478
93019130,622901,,,B,161200,100,289366,510775
93019130,623336,,,S,161000,500,511022,508903
93019130,623576,,,S,161000,100,511182,508903
93019290,626476,,,B,161200,300,289366,513109
93019290,626511,,,S,161100,100,513136,511416
93019430,627925,,,B,161200,200,289366,514041
93019520,628487,,,S,161100,100,514441,511453
93019890,633208,,,B,161200,300,289366,517764
93020400,639116,,,B,161200,100,289366,521935
93020400,639134,,,S,161100,200,521941,512001
93020400,639135,,,S,161100,100,521942,512008
93020400,639136,,,S,161100,800,521942,512231
93020400,639152,,,B,161200,500,336175,521951
93020400,639166,,,S,161200,200,521960,521951
93020400,639167,,,S,161100,1300,521960,512231
93020400,639168,,,S,161100,200,521960,517429
93020400,639171,,,S,161100,800,521963,517429
93020400,639206,,,B,161300,100,12659,521991
93020400,639207,,,B,161300,100,19539,521991
93020400,639224,,,B,161300,100,19539,522003
93020400,639225,,,B,161300,100,23301,522003
93020400,639226,,,B,161300,400,41337,522003
93020400,639315,,,S,161200,600,522070,521972
93020400,639316,,,S,161200,100,522070,521973
93020640,641219,,,S,161100,300,523460,517429
93020640,641220,,,S,161100,1200,523460,522113
93020640,641221,,,S,161000,100,523460,508903
93020640,641222,,,S,161000,1100,523460,510343
93020640,641223,,,S,161000,1100,523460,518669
93020640,641224,,,S,161000,200,523460,519798
93020640,641225,,,S,161000,100,523460,522789
93020710,642162,,,B,161000,700,523460,524094
93020710,642163,,,B,161000,100,523474,524094
93020740,642273,,,S,160900,400,524167,507964
93020870,643284,,,B,161000,300,523474,524863
93020890,643580,,,B,161000,600,523474,525087
93020930,643930,,,B,161000,100,523474,525342
93021010,644486,,,B,161200,200,522070,525720
93021690,650373,,,B,161100,600,529181,529784
93021750,650884,,,S,161000,300,530134,525342
93021790,650977,,,S,161000,100,530213,527702
93022090,653640,,,S,161000,200,531999,528181
93022090,653641,,,S,161000,100,531999,530507
93022090,653642,,,S,160900,600,531999,521441
93022090,653643,,,S,160800,100,531999,524177
93022090,653644,,,S,160700,500,531999,499719
93022090,653645,,,S,160700,500,531999,501961
93022090,653646,,,S,160700,500,531999,504073
93022090,653647,,,S,160700,100,531999,508241
93022090,653648,,,S,160700,400,531999,508673
93022090,653649,,,S,160700,300,531999,511411
93022090,653650,,,S,160700,400,531999,513514
93022090,653651,,,S,160700,100,531999,515401
93022090,653652,,,S,160700,400,531999,515548
93022090,653653,,,S,160700,100,531999,516422
93022090,653654,,,S,160700,200,531999,518168
93022090,653655,,,S,160700,200,531999,518194
93022090,653656,,,S,160700,300,531999,519749
