kind,ms,side,price,qty,id,ref2,otype,note
PHASE,33300020,-,0,0,0,,AUCTION_START,09:15:00.020 起收单（竞价只观测）
ADD,33301000,B,122000,1000,1,,0,竞价加单（观测计数, 不进连续簿）
ADD,33310000,S,123000,500,2,,0,竞价加单
FILL,33900000,X,122500,300,1,2,,09:25 竞价撮合打印（竞价序列, 簿不重建）
PHASE,33900000,-,0,0,0,,AUCTION_MATCH,
PHASE,34200000,-,0,0,0,,OPEN,连续段开始（基线锚点由 W3 注入）
ADD,34200010,B,122600,200,3,,0,
PHASE,41400000,-,0,0,0,,LUNCH,11:30 午休
PHASE,46800000,-,0,0,0,,RESUME,13:00 复盘（午休残留簿携入）
ADD,46800010,B,122500,100,4,,0,
PHASE,54000000,-,0,0,0,,CLOSE,15:00 收盘（EOD 残差守恒结算）
