时间,委托编号,交易所委托号,委托类型,委托代码,委托价格,委托数量
93000010,0,546715,0,B,122100,300
93000010,0,546912,0,B,122100,300
93000020,0,548610,0,B,122100,400
93000020,0,548926,0,S,122500,1400
93000020,0,549868,0,B,122100,500
93000020,0,549871,0,B,122100,600
93000020,0,549878,0,B,122100,900
93000020,0,550760,0,B,122100,1200
93000030,0,551819,0,B,122100,100
93000030,0,552150,0,B,120300,500
93000030,0,554602,0,B,120500,500
93000030,0,554711,0,B,122100,400
93000030,0,555431,0,B,120000,1200
93000030,0,556855,0,S,129200,15400
93000030,0,557129,0,S,122500,200
93000030,0,557884,0,B,121000,500
93000030,0,558941,0,B,123000,1600
93000030,0,559126,0,S,124200,1000
93000030,0,559683,0,B,122100,400
93000040,0,562233,0,B,122500,3500
93000040,0,562990,0,B,120100,500
93000040,0,563200,0,B,122100,300
93000040,0,563278,0,B,119000,1000
93000040,0,563854,0,S,122500,400
93000040,0,564267,0,B,120200,3000
93000040,0,565796,0,S,122500,800
93000040,0,566221,0,B,120100,6000
93000040,0,566388,0,B,119600,1000
93000040,0,566894,0,B,122100,200
93000040,0,566938,0,B,120000,1900
93000040,0,567003,0,S,124500,300
93000040,0,567490,0,S,122000,200
93000040,0,568525,0,B,120000,500
93000040,0,568556,0,S,122500,400
93000040,0,569559,0,B,120500,1000
93000040,0,569962,0,S,122700,2900
93000040,0,571257,0,B,119500,2000
93000040,0,571664,0,B,120200,10000
93000050,0,572227,0,S,126700,4300
93000050,0,572465,0,B,119200,10000
93000050,0,572662,0,B,122100,1500
93000050,0,573171,0,B,114800,500
93000050,0,573522,0,B,122500,200
93000050,0,573652,0,B,121000,5600
93000050,0,574030,0,B,122600,1000
93000050,0,574575,0,B,120100,3200
93000050,0,575384,0,B,120000,1600
93000050,0,575935,0,S,134900,1000
93000050,0,576252,0,B,118000,1000
93000050,0,576254,0,S,126600,200
93000050,0,576355,0,S,123900,3000
93000050,0,576560,0,B,111000,1000
93000050,0,577262,0,B,119800,300
93000050,0,577750,0,B,120200,500
93000050,0,577909,0,B,122600,1000
93000050,0,578191,0,S,124900,3300
93000050,0,578220,0,B,122200,500
93000050,0,578773,0,S,125000,1000
93000050,0,579509,0,S,133000,500
93000050,0,580122,0,B,121800,5000
93000050,0,580564,0,B,120000,1000
93000050,0,580967,0,B,121900,1000
93000050,0,580980,0,B,121900,2000
93000050,0,581095,0,B,110300,3000
93000050,0,581533,0,B,122100,200
93000060,0,583050,0,B,120100,300
93000060,0,584261,0,B,120100,2000
93000060,0,584393,0,B,123000,15800
93000060,0,586004,0,B,120200,900
93000060,0,586114,0,S,134300,1800
93000060,0,586346,0,S,122900,1000
93000060,0,587461,0,B,122200,400
93000060,0,588555,0,B,122000,6000
93000070,0,588815,0,B,120000,100
93000070,0,589448,0,S,125900,1100
93000070,0,590736,0,S,124000,1000
93000070,0,591229,0,S,126000,2800
93000070,0,591288,0,S,124000,1700
93000070,0,591584,0,B,122000,500
93000070,0,591652,0,B,120200,1000
93000070,0,592207,0,S,124500,2000
93000070,0,592660,0,S,124900,2000
93000070,0,593783,0,S,127300,3000
93000080,0,594284,0,B,120900,800
93000080,0,595820,0,B,120800,500
93000080,0,595952,0,B,122100,4100
93000080,0,596670,0,B,121400,6000
93000080,0,596672,0,S,123000,6000
93000080,0,596694,0,B,120100,4500
93000080,0,597119,0,S,125100,3000
93000080,0,597148,0,S,125000,1000
93000080,0,597205,0,S,122600,2000
93000080,0,597468,0,S,125700,1500
93000090,0,599967,0,S,125000,1700
93000090,0,600014,0,S,128000,1700
93000090,0,600300,0,B,116000,300
93000090,0,601145,0,S,134900,500
93000090,0,601517,0,B,120100,900
93000090,0,601665,0,S,126300,1400
